context: My hometown, where I was born, is a city surrounded by mountains - response:	neither too large nor too small, neither too rural nor urban.
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban. response:	There's nothing special about it to appeal to tourists.
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists. response:	I'm the middle of three children,
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children, response:	brought up by parents neither rich nor poor
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor response:	who didn't pay much attention to me.
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me. response:	I'm a high school student
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student response:	about to graduate from just your normal girls' high school.
context: My hometown, where I was born, is a city surrounded by mountains -\neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school. response:	When I was darkness at that time
context: neither too large nor too small, neither too rural nor urban.\There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time response:	With trembling lips
context: There's nothing special about it to appeal to tourists.\I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: I'm the middle of three children,\brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: brought up by parents neither rich nor poor\who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: who didn't pay much attention to me.\I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: I'm a high school student\about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: about to graduate from just your normal girls' high school.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Tokyo?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo? response:	Yeah. From next week.
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Yeah. From next week. response:	It's not a business trip?
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Yeah. From next week.\It's not a business trip? response:	I'm being transferred.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Yeah. From next week.\It's not a business trip?\I'm being transferred. response:	The head office needs me to go immediately.
context: I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Yeah. From next week.\It's not a business trip?\I'm being transferred.\The head office needs me to go immediately. response:	- Give me a break. - But...
context: I'm a broken rose\I wanna need your love\Tokyo?\Yeah. From next week.\It's not a business trip?\I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But... response:	I can't have this. But wait.
context: I wanna need your love\Tokyo?\Yeah. From next week.\It's not a business trip?\I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait. response:	Tokyo is only two hours away by bullet train.
context: Tokyo?\Yeah. From next week.\It's not a business trip?\I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train. response:	Besides, I only see him once in a while anyway.
context: Yeah. From next week.\It's not a business trip?\I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway. response:	It's gonna be lonely not being able to see you, Nana.
context: It's not a business trip?\I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana. response:	I had lots of fun until now. Thank you.
context: I'm being transferred.\The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you. response:	That happened on the seventh month of 1999...
context: The head office needs me to go immediately.\- Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999... response:	minus four months,
context: - Give me a break. - But...\I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months, response:	when the terrible Demon Lord fell from the sky, aiming for me.
context: I can't have this. But wait.\Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me. response:	I knew that this love had no future.
context: Tokyo is only two hours away by bullet train.\Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future. response:	But for it to end so suddenly... so easily...
context: Besides, I only see him once in a while anyway.\It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily... response:	It's so stupid, I can't even cry about it.
context: It's gonna be lonely not being able to see you, Nana.\I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it. response:	But you ARE crying!
context: I had lots of fun until now. Thank you.\That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying! response:	But... Jun-chan!
context: That happened on the seventh month of 1999...\minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan! response:	I warned you not to get involved.
context: minus four months,\when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan!\I warned you not to get involved. response:	Nothing good comes out of a high school student involved in adultery.
context: when the terrible Demon Lord fell from the sky, aiming for me.\I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery. response:	Don't say adultery! Makes it sound like lyrics to some country song!
context: I knew that this love had no future.\But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song! response:	Then prostitution?
context: But for it to end so suddenly... so easily...\It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution? response:	I've never asked for as much as a penny from Mr. Asano!
context: It's so stupid, I can't even cry about it.\But you ARE crying!\But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano! response:	You idiot! You should've gotten as much from him as you could.
context: But you ARE crying!\But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could. response:	So he did it with you and fled.
context: But... Jun-chan!\I warned you not to get involved.\Nothing good comes out of a high school student involved in adultery.\Don't say adultery! Makes it sound like lyrics to some country song!\Then prostitution?\I've never asked for as much as a penny from Mr. Asano!\You idiot! You should've gotten as much from him as you could.\So he did it with you and fled. response:	Jun-chan! Did it and fled?
