context: N-Now this was unexpected! response:	That took all of one minute!
context: N-Now this was unexpected!\That took all of one minute! response:	And yet AR-D and RM-C were still able to make a powerful statement!
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement! response:	They got totally owned, didn't they?
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they? response:	That wall of light.
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light. response:	That's gonna be trouble.
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light.\That's gonna be trouble. response:	It's going to take an extraordinary assault to get through that one.
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one. response:	Excuse me.
context: N-Now this was unexpected!\That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me. response:	Did you see that match just now?
context: That took all of one minute!\And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now? response:	Saw it.
context: And yet AR-D and RM-C were still able to make a powerful statement!\They got totally owned, didn't they?\That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now?\Saw it. response:	Those puppets are controlling over five Manadites concurrently.
context: They got totally owned, didn't they?\That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently. response:	That's beyond a human's control, but artificial intelligence can handle it!
context: That wall of light.\That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it! response:	Hey, hold up, Dad.
context: That's gonna be trouble.\It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad. response:	Is that Uncle Souichi, by any chance?
context: It's going to take an extraordinary assault to get through that one.\Excuse me.\Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance? response:	Hey, is that you, Ayato?
context: Excuse me.\Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato? response:	It's been a long time!
context: Did you see that match just now?\Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time! response:	Long time no see!
context: Saw it.\Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time!\Long time no see! response:	So Dad, what's up?
context: Those puppets are controlling over five Manadites concurrently.\That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time!\Long time no see!\So Dad, what's up? response:	Right, I sent you a new gun.
context: That's beyond a human's control, but artificial intelligence can handle it!\Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time!\Long time no see!\So Dad, what's up?\Right, I sent you a new gun. response:	Did you get it?
context: Hey, hold up, Dad.\Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time!\Long time no see!\So Dad, what's up?\Right, I sent you a new gun.\Did you get it? response:	Nope, not yet.
context: Is that Uncle Souichi, by any chance?\Hey, is that you, Ayato?\It's been a long time!\Long time no see!\So Dad, what's up?\Right, I sent you a new gun.\Did you get it?\Nope, not yet. response:	Meaning that it won't get there in time for your first match.
