context: Number 18684, Sister Krone. response:	We hereby appoint you to be Mom for Plant Four?
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four? response:	I'll be a Mom?
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom? response:	Yes.
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes. response:	There was a sudden opening at Plant Four for a Mom.
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom. response:	I've been recommending you for some time, which is why you were selected.
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected. response:	You've been recommending me?
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me? response:	Grandma is at the gate to pick you up.
context: Number 18684, Sister Krone.\We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up. response:	Pack up immediately and go back to headquarters.
context: We hereby appoint you to be Mom for Plant Four?\I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters. response:	Immediately?
context: I'll be a Mom?\Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately? response:	Goodbye. Please do your best at the new plant, too.
context: Yes.\There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too. response:	What's wrong? You don't look happy.
context: There was a sudden opening at Plant Four for a Mom.\I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy. response:	Oh no, this is an honor. I'll get ready.
context: I've been recommending you for some time, which is why you were selected.\You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready. response:	That woman. She intends to get rid of me!
context: You've been recommending me?\Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me! response:	It's all or nothing, but I have to try.
context: Grandma is at the gate to pick you up.\Pack up immediately and go back to headquarters.\Immediately?\Goodbye. Please do your best at the new plant, too.\What's wrong? You don't look happy.\Oh no, this is an honor. I'll get ready.\That woman. She intends to get rid of me!\It's all or nothing, but I have to try. response:	I will not let everything go her way!
