context: Stay with it, Kuririn... Gohan can't control this Ki... response:	T- t- there it is! Is this-?
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-? response:	A Genki Dama... You did it...
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it... response:	Hit him... with that...
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that... response:	I can't make another Genki Dama... Make sure you hit him... please!
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please! response:	Y- you got it! I'll try. Let me take care of it.
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it. response:	He's so strong! He should be fairly worn out from fighting with Father, too...
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too... response:	You're a tough little runt, but you appear to be nearing your limit.
context: Stay with it, Kuririn... Gohan can't control this Ki...\T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit. response:	Gohan- chan, fight!
context: T- t- there it is! Is this-?\A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight! response:	Fight, Gohan- chan!
context: A Genki Dama... You did it...\Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan! response:	W- w- what are you sayin', Chichi!? Gohan's no match for that guy!
context: Hit him... with that...\I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy! response:	Gohan, get out of there!
context: I can't make another Genki Dama... Make sure you hit him... please!\Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there! response:	Gohan-chan...
context: Y- you got it! I'll try. Let me take care of it.\He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan... response:	Chichi, are you-?
context: He's so strong! He should be fairly worn out from fighting with Father, too...\You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan...\Chichi, are you-? response:	Chichi...
context: You're a tough little runt, but you appear to be nearing your limit.\Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan...\Chichi, are you-?\Chichi... response:	They've vanished!
context: Gohan- chan, fight!\Fight, Gohan- chan!\W- w- what are you sayin', Chichi!? Gohan's no match for that guy!\Gohan, get out of there!\Gohan-chan...\Chichi, are you-?\Chichi...\They've vanished! response:	Gohan- chan?
