context: After an utterly impartial drawing, response:	it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet! response:	What?! Why does Raku of all people get to be Romeo?
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo? response:	Onodera-san?
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san? response:	Please give your role to me.
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me. response:	Surely you don't mind, do you?
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me.\Surely you don't mind, do you? response:	I want to play Raku-sama's heroine!
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine! response:	If you are in agreement, then why wouldn't you give the role to me?
context: After an utterly impartial drawing,\it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me? response:	Please, please, please, please, I beg of you!
context: it has been decided that the role of Romeo will go to Raku, while Onodera-san will be Juliet!\What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you! response:	Why not?
context: What?! Why does Raku of all people get to be Romeo?\Onodera-san?\Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not? response:	I expected as much...
context: Onodera-san?\Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not?\I expected as much... response:	U-Um... I'm really sorry! Because...
context: Please give your role to me.\Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not?\I expected as much...\U-Um... I'm really sorry! Because... response:	The thing is, I was actually hoping to play...
context: Surely you don't mind, do you?\I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not?\I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play... response:	the main character.
context: I want to play Raku-sama's heroine!\If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not?\I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character. response:	Is that right? Then I suppose there's nothing to be done.
context: If you are in agreement, then why wouldn't you give the role to me?\Please, please, please, please, I beg of you!\Why not?\I expected as much...\U-Um... I'm really sorry! Because...\The thing is, I was actually hoping to play...\the main character.\Is that right? Then I suppose there's nothing to be done. response:	In that case, I shall settle for the role of understudy,
