context: My moves! response:	While I was spending my time uselessly at my internship...
context: My moves!\While I was spending my time uselessly at my internship... response:	Again...
context: My moves!\While I was spending my time uselessly at my internship...\Again... response:	I don't know
context: My moves!\While I was spending my time uselessly at my internship...\Again...\I don't know response:	if you've figured out how to use your Quirk a little or what,
context: My moves!\While I was spending my time uselessly at my internship...\Again...\I don't know\if you've figured out how to use your Quirk a little or what, response:	but you seriously keep rubbing me the wrong way.
context: My moves!\While I was spending my time uselessly at my internship...\Again...\I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way. response:	Izuku Midoriya - Quirk: One For All
context: My moves!\While I was spending my time uselessly at my internship...\Again...\I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All response:	I don't need another half-assed result like at the sports festival.
context: My moves!\While I was spending my time uselessly at my internship...\Again...\I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival. response:	At the upcoming finals, we'll get individual scores,
context: While I was spending my time uselessly at my internship...\Again...\I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores, response:	so we'll see who's better whether you like it or not.
context: Again...\I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not. response:	I'll beat you with an indisputable difference!
context: I don't know\if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference! response:	I'll kill you!
context: if you've figured out how to use your Quirk a little or what,\but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you! response:	Katsuki Bakugo - Quirk: Explosion
context: but you seriously keep rubbing me the wrong way.\Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion response:	Katsuki Bakugo: Origin
context: Izuku Midoriya - Quirk: One For All\I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin response:	Team Midoriya and Bakugo, practical exam.
context: I don't need another half-assed result like at the sports festival.\At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam. response:	Ready, go!
context: At the upcoming finals, we'll get individual scores,\so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go! response:	I have to tell him...
context: so we'll see who's better whether you like it or not.\I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him... response:	Because Kacchan and I are a team...
context: I'll beat you with an indisputable difference!\I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him...\Because Kacchan and I are a team... response:	We have to talk properly...
context: I'll kill you!\Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him...\Because Kacchan and I are a team...\We have to talk properly... response:	K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,
context: Katsuki Bakugo - Quirk: Explosion\Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him...\Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes, response:	so we need to keep in mind the villain's combat ability and choose to either fight or run,
context: Katsuki Bakugo: Origin\Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him...\Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run, response:	but in our case, the villain is All Might, and fighting against him is dangerous-
context: Team Midoriya and Bakugo, practical exam.\Ready, go!\I have to tell him...\Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous- response:	I think it's a really bad idea, anyway-
context: Ready, go!\I have to tell him...\Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway- response:	Wait, Kacchan!
context: I have to tell him...\Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan! response:	Stop following me!
context: Because Kacchan and I are a team...\We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me! response:	I-If we keep going straight, All Might will probably be waiting for us.
context: We have to talk properly...\K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us. response:	We should take a detour-
context: K-Kacchan, for this exam, the teacher is the villain, and we're the heroes,\so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour- response:	Why should we run away?
context: so we need to keep in mind the villain's combat ability and choose to either fight or run,\but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away? response:	It'd definitely be better if we beat him up!
context: but in our case, the villain is All Might, and fighting against him is dangerous-\I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up! response:	W-We should avoid combat if we can no matter what!
context: I think it's a really bad idea, anyway-\Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what! response:	We'll toy with him until it's almost over,
context: Wait, Kacchan!\Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over, response:	and then once he's tired out, I'll beat him up!
context: Stop following me!\I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up! response:	It really is hard for me to deal with Kacchan...
context: I-If we keep going straight, All Might will probably be waiting for us.\We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan... response:	But I can't think about that right now.
context: We should take a detour-\Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now. response:	Who do you think All Might is?
context: Why should we run away?\It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is? response:	Even with the handicap, you can't win against him!
context: It'd definitely be better if we beat him up!\W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him! response:	Don't say another word...
context: W-We should avoid combat if we can no matter what!\We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word... response:	Just because things are going better for you doesn't mean you should talk.
context: We'll toy with him until it's almost over,\and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk. response:	It's pissing me off.
context: and then once he's tired out, I'll beat him up!\It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off. response:	Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu
context: It really is hard for me to deal with Kacchan...\But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu response:	Oh, dear, their teamwork is nonexistent...
context: But I can't think about that right now.\Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent... response:	Do they realize who they're up against?
context: Who do you think All Might is?\Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against? response:	Pro Hero - All Might - Quirk: One For All
context: Even with the handicap, you can't win against him!\Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All response:	Now...
context: Don't say another word...\Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now... response:	I am going!
context: Just because things are going better for you doesn't mean you should talk.\It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now...\I am going! response:	Wait, Kacchan!
context: It's pissing me off.\Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now...\I am going!\Wait, Kacchan! response:	I'm saying this so we can pass the test!
context: Pro Hero - Recovery Girl Tsuyu Asui Ochaco Uraraka Tenya Iida Momo Yaoyorozu\Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now...\I am going!\Wait, Kacchan!\I'm saying this so we can pass the test! response:	Listen, Kacchan!
context: Oh, dear, their teamwork is nonexistent...\Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now...\I am going!\Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan! response:	I told you, your power isn't needed to pass-
context: Do they realize who they're up against?\Pro Hero - All Might - Quirk: One For All\Now...\I am going!\Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass- response:	Stop yelling!
context: Pro Hero - All Might - Quirk: One For All\Now...\I am going!\Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling! response:	That's why we can never have a real conversation!
context: Now...\I am going!\Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation! response:	Who gives a damn about damaging the city?
context: I am going!\Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city? response:	What... What is this...
context: Wait, Kacchan!\I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this... response:	What... is this...
context: I'm saying this so we can pass the test!\Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this...\What... is this... response:	If you think of this as an exam, you'll be sorry.
context: Listen, Kacchan!\I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry. response:	I am a villain, heroes.
context: I told you, your power isn't needed to pass-\Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes. response:	Come at me with everything you've got!
context: Stop yelling!\That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got! response:	We can't take him head on. Let's run!
context: That's why we can never have a real conversation!\Who gives a damn about damaging the city?\What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run! response:	Don't tell me what to do!
context: Who gives a damn about damaging the city?\What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do! response:	Kacchan!
context: What... What is this...\What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan! response:	Stun Grenade!
context: What... is this...\If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan!\Stun Grenade! response:	Come at me you said, All Might?
context: If you think of this as an exam, you'll be sorry.\I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan!\Stun Grenade!\Come at me you said, All Might? response:	Even if you didn't say anything, I was gonna do that...
context: I am a villain, heroes.\Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan!\Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that... response:	Ow, ow, ow, ow, ow!
context: Come at me with everything you've got!\We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan!\Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow! response:	Normally, if you grab someone's face, they reflexively try to move your hand.
context: We can't take him head on. Let's run!\Don't tell me what to do!\Kacchan!\Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand. response:	This kid is seriously only thinking about defeating me, huh?
context: Don't tell me what to do!\Kacchan!\Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh? response:	With such weak consecutive hits, it just stings, though.
context: Kacchan!\Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though. response:	And...
context: Stun Grenade!\Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though.\And... response:	You're not off the hook either, Young Midoriya.
context: Come at me you said, All Might?\Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though.\And...\You're not off the hook either, Young Midoriya. response:	Are you leaving your teammate and running away?
context: Even if you didn't say anything, I was gonna do that...\Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though.\And...\You're not off the hook either, Young Midoriya.\Are you leaving your teammate and running away? response:	Why am I reminded of the hero killer?!
context: Ow, ow, ow, ow, ow!\Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though.\And...\You're not off the hook either, Young Midoriya.\Are you leaving your teammate and running away?\Why am I reminded of the hero killer?! response:	Whoops! That's no good.
context: Normally, if you grab someone's face, they reflexively try to move your hand.\This kid is seriously only thinking about defeating me, huh?\With such weak consecutive hits, it just stings, though.\And...\You're not off the hook either, Young Midoriya.\Are you leaving your teammate and running away?\Why am I reminded of the hero killer?!\Whoops! That's no good. response:	Move!
