context: Late Night Show response:	Late Night Show
context: Late Night Show\Late Night Show response:	Bones 10th anniversary project
context: Late Night Show\Late Night Show\Bones 10th anniversary project response:	A healthy soul...
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul... response:	I've brought it.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\I've brought it. response:	With this, you'll be removing one of the snakes you left in my body, right?
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right? response:	That's right.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right. response:	Well done, Eruka.
context: Late Night Show\Late Night Show\Bones 10th anniversary project\A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka. response:	Finally...
context: Late Night Show\Bones 10th anniversary project\A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka.\Finally... response:	Free, how's the Evil Eye?
context: Bones 10th anniversary project\A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka.\Finally...\Free, how's the Evil Eye? response:	It's perfect.
context: A healthy soul...\I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka.\Finally...\Free, how's the Evil Eye?\It's perfect. response:	As it is, I'll be able to produce an Independent Cube.
context: I've brought it.\With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka.\Finally...\Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube. response:	Mabaa-sama's specialized on spatial magic.
context: With this, you'll be removing one of the snakes you left in my body, right?\That's right.\Well done, Eruka.\Finally...\Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic. response:	Tonight, your Evil Eye will be necessary.
context: That's right.\Well done, Eruka.\Finally...\Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary. response:	Eruka and I will give you magical support.
context: Well done, Eruka.\Finally...\Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support. response:	I'm counting on you.
context: Finally...\Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you. response:	Yeah...
context: Free, how's the Evil Eye?\It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you.\Yeah... response:	Leave it to me...
context: It's perfect.\As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you.\Yeah...\Leave it to me... response:	Now... the time draws near...
context: As it is, I'll be able to produce an Independent Cube.\Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you.\Yeah...\Leave it to me...\Now... the time draws near... response:	Now... the time draws near...
context: Mabaa-sama's specialized on spatial magic.\Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you.\Yeah...\Leave it to me...\Now... the time draws near...\Now... the time draws near... response:	I've longed for this day.
context: Tonight, your Evil Eye will be necessary.\Eruka and I will give you magical support.\I'm counting on you.\Yeah...\Leave it to me...\Now... the time draws near...\Now... the time draws near...\I've longed for this day. response:	This is a free fansub. Not for sale or rent.
