context: You're not going to do anything, Director? response:	That is correct, Nekonome-sensei.
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei. response:	B-But Aono-kun is...
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is... response:	If he is to be executed, it means that it was his fate.
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate. response:	N-No way...
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way... response:	Humans are our enemies!
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies! response:	Don't forgive him!
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies!\Don't forgive him! response:	Hurry up and sentence him to death!
context: You're not going to do anything, Director?\That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death! response:	Why have things come to this?
context: That is correct, Nekonome-sensei.\B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this? response:	Was it a mistake to have enrolled in this school?
context: B-But Aono-kun is...\If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school? response:	Would things have been better if I left earlier?
context: If he is to be executed, it means that it was his fate.\N-No way...\Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier? response:	Enroll into a normal school and befriend people who are humans like me.
context: N-No way...\Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me. response:	But if that were the case,
context: Humans are our enemies!\Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case, response:	I wouldn't have been able to meet Moka-san and the others.
context: Don't forgive him!\Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others. response:	Have you gone crazy because of fear?
context: Hurry up and sentence him to death!\Why have things come to this?\Was it a mistake to have enrolled in this school?\Would things have been better if I left earlier?\Enroll into a normal school and befriend people who are humans like me.\But if that were the case,\I wouldn't have been able to meet Moka-san and the others.\Have you gone crazy because of fear? response:	Once you execute me, please don't lay a finger on the other members of the Newspaper Club.
