context: That cafe response:	That cafe is on the first floor of the building where our detective agency is.
context: That cafe\That cafe is on the first floor of the building where our detective agency is. response:	Uzumaki
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki response:	Agency members often spend their breaks there.
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there. response:	We have a new job, everyone!
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone! response:	Is anyone interested?
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested? response:	Pass.
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested?\Pass. response:	I guess this is our reaction.
context: That cafe\That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested?\Pass.\I guess this is our reaction. response:	Yeah, our reaction.
context: That cafe is on the first floor of the building where our detective agency is.\Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested?\Pass.\I guess this is our reaction.\Yeah, our reaction. response:	Definitely our reaction.
context: Uzumaki\Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested?\Pass.\I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction. response:	Your reaction?
context: Agency members often spend their breaks there.\We have a new job, everyone!\Is anyone interested?\Pass.\I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction.\Your reaction? response:	We're burned-out.
context: We have a new job, everyone!\Is anyone interested?\Pass.\I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction.\Your reaction?\We're burned-out. response:	The Guild battles were the biggest since we were founded.
context: Is anyone interested?\Pass.\I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction.\Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded. response:	I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.
context: Pass.\I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction.\Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama. response:	Not to mention...
context: I guess this is our reaction.\Yeah, our reaction.\Definitely our reaction.\Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention... response:	Giant Flying Object Over Yokohama
context: Yeah, our reaction.\Definitely our reaction.\Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama response:	Crashes Into Port!
context: Definitely our reaction.\Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port! response:	Thanks to that, you're famous.
context: Your reaction?\We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous. response:	That wasn't my intention.
context: We're burned-out.\The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention. response:	It's fine.
context: The Guild battles were the biggest since we were founded.\I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention.\It's fine. response:	Recognition only brings more trouble.
context: I'm so glad we managed to keep the Moby Dick from crashing into Yokohama.\Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention.\It's fine.\Recognition only brings more trouble. response:	Huh?
context: Not to mention...\Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention.\It's fine.\Recognition only brings more trouble.\Huh? response:	Where's Kunikida-san?
context: Giant Flying Object Over Yokohama\Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention.\It's fine.\Recognition only brings more trouble.\Huh?\Where's Kunikida-san? response:	Kunikida-kun's upstairs.
context: Crashes Into Port!\Thanks to that, you're famous.\That wasn't my intention.\It's fine.\Recognition only brings more trouble.\Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs. response:	He's more gung-ho than ever.
context: Thanks to that, you're famous.\That wasn't my intention.\It's fine.\Recognition only brings more trouble.\Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever. response:	More coffee, please.
context: That wasn't my intention.\It's fine.\Recognition only brings more trouble.\Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please. response:	Coming.
context: It's fine.\Recognition only brings more trouble.\Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please.\Coming. response:	Curry for me.
context: Recognition only brings more trouble.\Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please.\Coming.\Curry for me. response:	Sweet.
context: Huh?\Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please.\Coming.\Curry for me.\Sweet. response:	All right.
context: Where's Kunikida-san?\Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please.\Coming.\Curry for me.\Sweet.\All right. response:	Something that'll pick me up.
context: Kunikida-kun's upstairs.\He's more gung-ho than ever.\More coffee, please.\Coming.\Curry for me.\Sweet.\All right.\Something that'll pick me up. response:	Are you hung over?
context: He's more gung-ho than ever.\More coffee, please.\Coming.\Curry for me.\Sweet.\All right.\Something that'll pick me up.\Are you hung over? response:	Sorry for causing you so much trouble all the time.
context: More coffee, please.\Coming.\Curry for me.\Sweet.\All right.\Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time. response:	Not at all.
context: Coming.\Curry for me.\Sweet.\All right.\Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all. response:	The only trouble, really, is Dazai-san's tab.
context: Curry for me.\Sweet.\All right.\Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab. response:	At least buy life insurance before you die, please.
context: Sweet.\All right.\Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please. response:	Your will to live...
context: All right.\Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live... response:	You're an amazing lady.
context: Something that'll pick me up.\Are you hung over?\Sorry for causing you so much trouble all the time.\Not at all.\The only trouble, really, is Dazai-san's tab.\At least buy life insurance before you die, please.\Your will to live...\You're an amazing lady. response:	Also, we had a report from the military police.
