context: Kirara... are you in pain? response:	Naraku's toxins are still inside your system.
context: Kirara... are you in pain?\Naraku's toxins are still inside your system. response:	An herbal antidote?
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote? response:	Old Myoga, will Kirara recover if she takes it?
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it? response:	Yes... Supposedly, not far from here, is a village with an herb farm.
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm. response:	But this herb farm is protected by a demon.
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon. response:	I wonder if you can take the herb easily or not.
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not. response:	'Kay, this is where Inuyasha comes in.
context: Kirara... are you in pain?\Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in. response:	Beat up this demon and get some of the herbs.
context: Naraku's toxins are still inside your system.\An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs. response:	Kirara actually took a bite of Naraku.
context: An herbal antidote?\Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku. response:	Unlike Myoga, Kirara has gumption!
context: Old Myoga, will Kirara recover if she takes it?\Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption! response:	It's the least I can do for her.
context: Yes... Supposedly, not far from here, is a village with an herb farm.\But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her. response:	Unlike Myoga, we can count on Kirara's strength in battle.
context: But this herb farm is protected by a demon.\I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle. response:	She must make a full recovery.
context: I wonder if you can take the herb easily or not.\'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery. response:	Oh, guys! What're you saying?
context: 'Kay, this is where Inuyasha comes in.\Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying? response:	Old Myoga has been a big help to us.
context: Beat up this demon and get some of the herbs.\Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us. response:	For example...
context: Kirara actually took a bite of Naraku.\Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example... response:	Well...
context: Unlike Myoga, Kirara has gumption!\It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example...\Well... response:	H-hey!
context: It's the least I can do for her.\Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example...\Well...\H-hey! response:	I let you do the talking...
context: Unlike Myoga, we can count on Kirara's strength in battle.\She must make a full recovery.\Oh, guys! What're you saying?\Old Myoga has been a big help to us.\For example...\Well...\H-hey!\I let you do the talking... response:	and you all decide that I'm small and useless!
