context: The old woman in Egypt, Enyaba, told me response:	to shoot the arrow at those it desires.
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires. response:	They will become allies.
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies. response:	Those shot with the arrow
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow response:	will be able to bring out just one special power hidden in their heats.
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats. response:	I believe she called them Stands.
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands. response:	Jotaro Kujo and the others...
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others... response:	If there are others in Morioh who are after my Yoshikage,
context: The old woman in Egypt, Enyaba, told me\to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage, response:	then I need to make more Stand users, more allies.
context: to shoot the arrow at those it desires.\They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies. response:	Now, arrow! Who do you want?
context: They will become allies.\Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want? response:	Choose! Choose them!
context: Those shot with the arrow\will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them! response:	Pull
context: will be able to bring out just one special power hidden in their heats.\I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them!\Pull response:	A telephone pole?
context: I believe she called them Stands.\Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them!\Pull\A telephone pole? response:	How is the telephone pole relev
context: Jotaro Kujo and the others...\If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them!\Pull\A telephone pole?\How is the telephone pole relev response:	Could it be... you want that child?
context: If there are others in Morioh who are after my Yoshikage,\then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them!\Pull\A telephone pole?\How is the telephone pole relev\Could it be... you want that child? response:	Are you saying that child will be my ally?
context: then I need to make more Stand users, more allies.\Now, arrow! Who do you want?\Choose! Choose them!\Pull\A telephone pole?\How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally? response:	V-Very well.
context: Now, arrow! Who do you want?\Choose! Choose them!\Pull\A telephone pole?\How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well. response:	I just have to shoot that child, right?
context: Choose! Choose them!\Pull\A telephone pole?\How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right? response:	JoJo's Bizarre Adventure
context: Pull\A telephone pole?\How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: A telephone pole?\How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: How is the telephone pole relev\Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Could it be... you want that child?\Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 26 Janken Boy Is Coming!
context: Are you saying that child will be my ally?\V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming! response:	Well, if it isn't the manga artist, Rohan Kishibe.
context: V-Very well.\I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe. response:	Good morning, Mr. Joestar.
context: I just have to shoot that child, right?\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar. response:	What are you shooting here?
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here? response:	I was sneaking some photos of businessmen heading to work.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work. response:	If Yoshikage Kira switched places with someone at Salon Cinderella,
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella, response:	he should be going to work every day, just like that person did.
context: Diamond is Unbreakable\Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did. response:	Going to work...
context: Episode 26 Janken Boy Is Coming!\Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work... response:	Knowing he's a man between the ages of 25 and 35
context: Well, if it isn't the manga artist, Rohan Kishibe.\Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35 response:	who's around 175 centimeters tall and an office worker
context: Good morning, Mr. Joestar.\What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker response:	narrows it down quite a bit.
context: What are you shooting here?\I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit. response:	I see...
context: I was sneaking some photos of businessmen heading to work.\If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see... response:	But you can't be sure that he uses the station.
context: If Yoshikage Kira switched places with someone at Salon Cinderella,\he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see...\But you can't be sure that he uses the station. response:	He might drive to work in a car.
context: he should be going to work every day, just like that person did.\Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see...\But you can't be sure that he uses the station.\He might drive to work in a car. response:	That is possible.
context: Going to work...\Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see...\But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible. response:	But he only changed his face.
context: Knowing he's a man between the ages of 25 and 35\who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see...\But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible.\But he only changed his face. response:	I don't think it's possible to change completely into someone else.
context: who's around 175 centimeters tall and an office worker\narrows it down quite a bit.\I see...\But you can't be sure that he uses the station.\He might drive to work in a car.\That is possible.\But he only changed his face.\I don't think it's possible to change completely into someone else. response:	I'm pretty sure that the family of one of these men is already
