context: The year 850, in Trost... response:	The sight of Eren Jaeger unleashing
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing response:	the power of a mysterious Titan
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan response:	was more than enough to terrify his fellow soldiers.
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers. response:	I am a human!
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human! response:	He is not an enemy of humanity!
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity! response:	With my final breath before my death,
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity!\With my final breath before my death, response:	I shall wish for humanity's glory,
context: The year 850, in Trost...\The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory, response:	and try to persuade you of his strategic value!
context: The sight of Eren Jaeger unleashing\the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value! response:	As Eren and his friends could do nothing but argue their innocence,
context: the power of a mysterious Titan\was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence, response:	they were saved by Dot Pixis,
context: was more than enough to terrify his fellow soldiers.\I am a human!\He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis, response:	the high commander of the southern territories.
context: I am a human!\He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories. response:	I think we should listen to them...
context: He is not an enemy of humanity!\With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them... response:	Icon The Battle for Trost (7)
context: With my final breath before my death,\I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7) response:	I'll do it!
context: I shall wish for humanity's glory,\and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it! response:	I don't know whether I can seal the hole.
context: and try to persuade you of his strategic value!\As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole. response:	But I'll do it!
context: As Eren and his friends could do nothing but argue their innocence,\they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole.\But I'll do it! response:	Well said.
context: they were saved by Dot Pixis,\the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole.\But I'll do it!\Well said. response:	You're a real man.
context: the high commander of the southern territories.\I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole.\But I'll do it!\Well said.\You're a real man. response:	I'll call my strategists. We'll develop a plan!
context: I think we should listen to them...\Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole.\But I'll do it!\Well said.\You're a real man.\I'll call my strategists. We'll develop a plan! response:	No way.
context: Icon The Battle for Trost (7)\I'll do it!\I don't know whether I can seal the hole.\But I'll do it!\Well said.\You're a real man.\I'll call my strategists. We'll develop a plan!\No way. response:	That idea depends on so many assumptions,
context: I'll do it!\I don't know whether I can seal the hole.\But I'll do it!\Well said.\You're a real man.\I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions, response:	and he's just going to run with it?
context: I don't know whether I can seal the hole.\But I'll do it!\Well said.\You're a real man.\I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions,\and he's just going to run with it? response:	I was just thinking the same thing.
context: But I'll do it!\Well said.\You're a real man.\I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing. response:	But there's no sense in doubting his decision.
context: Well said.\You're a real man.\I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision. response:	Commander Pixis must see potential in something the rest of us can't see.
context: You're a real man.\I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see. response:	Something we can't see?
context: I'll call my strategists. We'll develop a plan!\No way.\That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see? response:	Also, I think there's a bigger issue that must be addressed
context: No way.\That idea depends on so many assumptions,\and he's just going to run with it?\I was just thinking the same thing.\But there's no sense in doubting his decision.\Commander Pixis must see potential in something the rest of us can't see.\Something we can't see?\Also, I think there's a bigger issue that must be addressed response:	before the plan can be executed.
