context: Sensei! response:	What's up?
context: Sensei!\What's up? response:	I just saw someone suspicious!
context: Sensei!\What's up?\I just saw someone suspicious! response:	What? Wh-What did they look like?
context: Sensei!\What's up?\I just saw someone suspicious!\What? Wh-What did they look like? response:	Um, he was really big, like a bear,
context: Sensei!\What's up?\I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear, response:	with really shaggy hair!
context: Sensei!\What's up?\I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair! response:	Shaggy?
context: Sensei!\What's up?\I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair!\Shaggy? response:	And he had eyes like a beast, targeting its prey!
context: Sensei!\What's up?\I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey! response:	That can't be anything but a bear!
context: What's up?\I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear! response:	Interviews with Monster Girls
context: I just saw someone suspicious!\What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls response:	Someone is sitting in the hallway, crying.
context: What? Wh-What did they look like?\Um, he was really big, like a bear,\with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying. response:	That looks like a school uniform, but not this school's...
context: Um, he was really big, like a bear,\with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's... response:	And such nice blond hair.
context: with really shaggy hair!\Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair. response:	What's wrong? Are you okay?
context: Shaggy?\And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay? response:	Pretty boy!
context: And he had eyes like a beast, targeting its prey!\That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay?\Pretty boy! response:	Succubus-san Is Inquisitive
context: That can't be anything but a bear!\Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive response:	I'm Satou Sakie, the math teacher.
context: Interviews with Monster Girls\Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher. response:	Nice to meet you.
context: Someone is sitting in the hallway, crying.\That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you. response:	Sakie-sensei...
context: That looks like a school uniform, but not this school's...\And such nice blond hair.\What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei... response:	My name is Kurtz.
context: And such nice blond hair.\What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei...\My name is Kurtz. response:	Are you part German, by any chance?
context: What's wrong? Are you okay?\Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance? response:	Yes, I am.
context: Pretty boy!\Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance?\Yes, I am. response:	I'm surprised you could tell.
context: Succubus-san Is Inquisitive\I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell. response:	A lucky guess.
context: I'm Satou Sakie, the math teacher.\Nice to meet you.\Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell.\A lucky guess. response:	I happen to have studied a bit of German in college.
context: Nice to meet you.\Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college. response:	So...
context: Sakie-sensei...\My name is Kurtz.\Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college.\So... response:	So what are you doing here, Kurtz-kun?
context: My name is Kurtz.\Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun? response:	Well, I came here with someone,
context: Are you part German, by any chance?\Yes, I am.\I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone, response:	but we got separated.
context: Yes, I am.\I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated. response:	Was it your parents?
context: I'm surprised you could tell.\A lucky guess.\I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated.\Was it your parents? response:	Were they filling out transfer paperwork?
context: A lucky guess.\I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated.\Was it your parents?\Were they filling out transfer paperwork? response:	Y-Yes...
context: I happen to have studied a bit of German in college.\So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated.\Was it your parents?\Were they filling out transfer paperwork?\Y-Yes... response:	That's right.
context: So...\So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated.\Was it your parents?\Were they filling out transfer paperwork?\Y-Yes...\That's right. response:	Doesn't look like it.
context: So what are you doing here, Kurtz-kun?\Well, I came here with someone,\but we got separated.\Was it your parents?\Were they filling out transfer paperwork?\Y-Yes...\That's right.\Doesn't look like it. response:	It looks he isn't really a transfer student,
context: Well, I came here with someone,\but we got separated.\Was it your parents?\Were they filling out transfer paperwork?\Y-Yes...\That's right.\Doesn't look like it.\It looks he isn't really a transfer student, response:	but he doesn't seem like a bad kid.
context: but we got separated.\Was it your parents?\Were they filling out transfer paperwork?\Y-Yes...\That's right.\Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid. response:	Oh, Satou-sensei...
context: Was it your parents?\Were they filling out transfer paperwork?\Y-Yes...\That's right.\Doesn't look like it.\It looks he isn't really a transfer student,\but he doesn't seem like a bad kid.\Oh, Satou-sensei... response:	Hello!
