context: It's been five days since I debuted as a professional hero. response:	There haven't been any serious incidents so far.
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far. response:	However, for some reason Genos is staying at my house.
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house. response:	What are you writing over there?
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there? response:	I'm recording the details of your lessons and training regimen.
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen. response:	Crap. He's raising the bar again
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again response:	I can't think of a single thing I can teach the guy.
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy. response:	I feel bad, like I'm scamming him or something.
context: It's been five days since I debuted as a professional hero.\There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something. response:	Come on, think. Or just make up some techniques or a spiritual theory.
context: There haven't been any serious incidents so far.\However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory. response:	Bah, strength training is all I've got!
context: However, for some reason Genos is staying at my house.\What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got! response:	I know Genos won't be satisfied with that, plus the dude's a cyborg!
context: What are you writing over there?\I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg! response:	By the way,
context: I'm recording the details of your lessons and training regimen.\Crap. He's raising the bar again\I can't think of a single thing I can teach the guy.\I feel bad, like I'm scamming him or something.\Come on, think. Or just make up some techniques or a spiritual theory.\Bah, strength training is all I've got!\I know Genos won't be satisfied with that, plus the dude's a cyborg!\By the way, response:	at the seminar they said if you're a Class C hero
