context: Am I gonna die? response:	You did die...
context: Am I gonna die?\You did die... response:	Who are you?
context: Am I gonna die?\You did die...\Who are you? response:	Inga...
context: Am I gonna die?\You did die...\Who are you?\Inga... response:	It wasn't supposed to be like this, head in my hands
context: Am I gonna die?\You did die...\Who are you?\Inga...\It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: Am I gonna die?\You did die...\Who are you?\Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world response:	Time passes like whispering sand
context: Am I gonna die?\You did die...\Who are you?\Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand response:	These circumstances, unchanging
context: Am I gonna die?\You did die...\Who are you?\Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging response:	gazing out at a dreamless tomorrow
context: You did die...\Who are you?\Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow response:	Wanna say goodbye to the confusion of yesterday
context: Who are you?\Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday response:	I try reaching out, as if to resist
context: Inga...\It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist response:	We cry millions of times and then get born again
context: It wasn't supposed to be like this, head in my hands\Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again response:	Let's go with these red eyes
context: Struggling to escape from this saturated world\Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes response:	to that pictured future
context: Time passes like whispering sand\These circumstances, unchanging\gazing out at a dreamless tomorrow\Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future response:	Come here right by me, I'm clapping my hands
