context: Great, great, Issei! Push it, push it, Issei! One more time! response:	Karasuno Wakunan
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan response:	Sorry... I'm gonna go to the bathroom...
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom... response:	So go on ahead.
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead. response:	He's really pumped about going to the bathroom.
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom. response:	He must need to take a shit.
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit. response:	Say poop! You're so vulgar, Kageyama-kun!
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun! response:	Crap.
context: Great, great, Issei! Push it, push it, Issei! One more time!\Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap. response:	I don't think he actually went to the bathroom...
context: Karasuno Wakunan\Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom... response:	Poop.
context: Sorry... I'm gonna go to the bathroom...\So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom...\Poop. response:	Crap.
context: So go on ahead.\He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom...\Poop.\Crap. response:	Poop.
context: He's really pumped about going to the bathroom.\He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom...\Poop.\Crap.\Poop. response:	Crap.
context: He must need to take a shit.\Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom...\Poop.\Crap.\Poop.\Crap. response:	Poop!
context: Say poop! You're so vulgar, Kageyama-kun!\Crap.\I don't think he actually went to the bathroom...\Poop.\Crap.\Poop.\Crap.\Poop! response:	Ukai-san...
context: Crap.\I don't think he actually went to the bathroom...\Poop.\Crap.\Poop.\Crap.\Poop!\Ukai-san... response:	I'm sorry for wasting my chance.
context: I don't think he actually went to the bathroom...\Poop.\Crap.\Poop.\Crap.\Poop!\Ukai-san...\I'm sorry for wasting my chance. response:	How effectively you serve
context: Poop.\Crap.\Poop.\Crap.\Poop!\Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve response:	will determine if you can win or not.
context: Crap.\Poop.\Crap.\Poop!\Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not. response:	I heard your direction during the Fukurodani match and understood it...
context: Poop.\Crap.\Poop!\Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it... response:	And I understood my role.
context: Crap.\Poop!\Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role. response:	And then I thought I wanted to be able to fight, too...
context: Poop!\Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too... response:	But...
context: Ukai-san...\I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too...\But... response:	I ran away at the last minute.
context: I'm sorry for wasting my chance.\How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute. response:	Please...
context: How effectively you serve\will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute.\Please... response:	Give me one more chance.
context: will determine if you can win or not.\I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute.\Please...\Give me one more chance. response:	Oh, shut up already. I know.
context: I heard your direction during the Fukurodani match and understood it...\And I understood my role.\And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute.\Please...\Give me one more chance.\Oh, shut up already. I know. response:	Please put me in.
context: And I understood my role.\And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute.\Please...\Give me one more chance.\Oh, shut up already. I know.\Please put me in. response:	Haikyu!!
context: And then I thought I wanted to be able to fight, too...\But...\I ran away at the last minute.\Please...\Give me one more chance.\Oh, shut up already. I know.\Please put me in.\Haikyu!! response:	Kyotani, get one more in!
context: But...\I ran away at the last minute.\Please...\Give me one more chance.\Oh, shut up already. I know.\Please put me in.\Haikyu!!\Kyotani, get one more in! response:	Sorry! It's long!
context: I ran away at the last minute.\Please...\Give me one more chance.\Oh, shut up already. I know.\Please put me in.\Haikyu!!\Kyotani, get one more in!\Sorry! It's long! response:	Mattsun!
context: Please...\Give me one more chance.\Oh, shut up already. I know.\Please put me in.\Haikyu!!\Kyotani, get one more in!\Sorry! It's long!\Mattsun! response:	Episode 22: The Former Coward's Fight
context: Give me one more chance.\Oh, shut up already. I know.\Please put me in.\Haikyu!!\Kyotani, get one more in!\Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight response:	All right!
context: Oh, shut up already. I know.\Please put me in.\Haikyu!!\Kyotani, get one more in!\Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight\All right! response:	Damn it. Sorry!
context: Please put me in.\Haikyu!!\Kyotani, get one more in!\Sorry! It's long!\Mattsun!\Episode 22: The Former Coward's Fight\All right!\Damn it. Sorry! response:	Aoba Johsai Karasuno
