context: Elementary School Entrance Ceremony response:	Okay?
context: Elementary School Entrance Ceremony\Okay? response:	Um...
context: Elementary School Entrance Ceremony\Okay?\Um... response:	Hi...
context: Elementary School Entrance Ceremony\Okay?\Um...\Hi... response:	It's all blurry.
context: Elementary School Entrance Ceremony\Okay?\Um...\Hi...\It's all blurry. response:	Rin-chan, Kouki, stand next to each other!
context: Elementary School Entrance Ceremony\Okay?\Um...\Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other! response:	Okay!
context: Elementary School Entrance Ceremony\Okay?\Um...\Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay! response:	Kouki-kun!
context: Elementary School Entrance Ceremony\Okay?\Um...\Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun! response:	Say cheese!
context: Okay?\Um...\Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun!\Say cheese! response:	Next, I'll take a photo of you with Rin-chan, Daikichi-san.
context: Um...\Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san. response:	Nah, I don't need a shot of myself.
context: Hi...\It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself. response:	You have to! She'll grow up before you know it.
context: It's all blurry.\Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it. response:	So you have to keep a record of it!
context: Rin-chan, Kouki, stand next to each other!\Okay!\Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it.\So you have to keep a record of it! response:	Sure.
context: Okay!\Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it.\So you have to keep a record of it!\Sure. response:	Daikichi-san, your expression is stiff...
context: Kouki-kun!\Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it.\So you have to keep a record of it!\Sure.\Daikichi-san, your expression is stiff... response:	I dunno about tomorrow.
context: Say cheese!\Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it.\So you have to keep a record of it!\Sure.\Daikichi-san, your expression is stiff...\I dunno about tomorrow. response:	It's different than a sacrifice. Something's off.
context: Next, I'll take a photo of you with Rin-chan, Daikichi-san.\Nah, I don't need a shot of myself.\You have to! She'll grow up before you know it.\So you have to keep a record of it!\Sure.\Daikichi-san, your expression is stiff...\I dunno about tomorrow.\It's different than a sacrifice. Something's off. response:	I don't think it's like some penalty game.
