context: I'm going to return to the hometown we lost. response:	That's all I care about now.
context: I'm going to return to the hometown we lost.\That's all I care about now. response:	I chose to be a soldier in the hopes of joining the Military Police
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police response:	so I could work in the safety of the interior.
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior. response:	Why do you want to be a soldier?
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier? response:	I decided I have to kill them.
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them. response:	I decided I have to slaughter all the Titans...
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans... response:	So your encounter with the Titans didn't break your will?
context: I'm going to return to the hometown we lost.\That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will? response:	You'll be able to do it.
context: That's all I care about now.\I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it. response:	Eren Jaeger, was it?
context: I chose to be a soldier in the hopes of joining the Military Police\so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it? response:	You damn traitors!
context: so I could work in the safety of the interior.\Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it?\You damn traitors! response:	Close Combat
context: Why do you want to be a soldier?\I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it?\You damn traitors!\Close Combat response:	Eren!
context: I decided I have to kill them.\I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it?\You damn traitors!\Close Combat\Eren! response:	If only...
context: I decided I have to slaughter all the Titans...\So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it?\You damn traitors!\Close Combat\Eren!\If only... response:	If only I'd cut off their heads!
context: So your encounter with the Titans didn't break your will?\You'll be able to do it.\Eren Jaeger, was it?\You damn traitors!\Close Combat\Eren!\If only...\If only I'd cut off their heads! response:	That was the perfect chance!
context: You'll be able to do it.\Eren Jaeger, was it?\You damn traitors!\Close Combat\Eren!\If only...\If only I'd cut off their heads!\That was the perfect chance! response:	I should've been able to do it, so why?!
context: Eren Jaeger, was it?\You damn traitors!\Close Combat\Eren!\If only...\If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?! response:	That was it. There won't be another chance!
context: You damn traitors!\Close Combat\Eren!\If only...\If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance! response:	Everyone, jump away from the wall!
context: Close Combat\Eren!\If only...\If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall! response:	It got Ymir!
context: Eren!\If only...\If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir! response:	And somebody else, too!
context: If only...\If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir!\And somebody else, too! response:	He ate'em!
context: If only I'd cut off their heads!\That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir!\And somebody else, too!\He ate'em! response:	Th-This can't be...
context: That was the perfect chance!\I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir!\And somebody else, too!\He ate'em!\Th-This can't be... response:	Bertholdt...
context: I should've been able to do it, so why?!\That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir!\And somebody else, too!\He ate'em!\Th-This can't be...\Bertholdt... response:	All soldiers, prepare to attack!
context: That was it. There won't be another chance!\Everyone, jump away from the wall!\It got Ymir!\And somebody else, too!\He ate'em!\Th-This can't be...\Bertholdt...\All soldiers, prepare to attack! response:	We're taking down the Colossal Titan!
context: Everyone, jump away from the wall!\It got Ymir!\And somebody else, too!\He ate'em!\Th-This can't be...\Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan! response:	It's a threat to all of humanity!
context: It got Ymir!\And somebody else, too!\He ate'em!\Th-This can't be...\Bertholdt...\All soldiers, prepare to attack!\We're taking down the Colossal Titan!\It's a threat to all of humanity! response:	Swarm the huge bastard!
