context: Tsuritama Episode 1 response:	Long ago, a five-headed dragon lived in this ocean.
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean. response:	The violent dragon caused much suffering for the people.
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people. response:	Eventually, a black cloud covered the sky,
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky, response:	bringing a deep, deep darkness with it.
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it. response:	Just when everyone had given up
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up response:	and thought the world would end, something happened.
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened. response:	A single ray of light shone down from the sky.
context: Tsuritama Episode 1\Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky. response:	An unearthly beautiful princess arrived riding on a purple cloud.
context: Long ago, a five-headed dragon lived in this ocean.\The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud. response:	The woman smiled, and her smile illuminated our dark world.
context: The violent dragon caused much suffering for the people.\Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world. response:	Odakyu Katase Enoshima Station
context: Eventually, a black cloud covered the sky,\bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station response:	Well, then.
context: bringing a deep, deep darkness with it.\Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then. response:	What are you gonna do?
context: Just when everyone had given up\and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then.\What are you gonna do? response:	So pretty!
context: and thought the world would end, something happened.\A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then.\What are you gonna do?\So pretty! response:	How was it?
context: A single ray of light shone down from the sky.\An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then.\What are you gonna do?\So pretty!\How was it? response:	Did you find anything good?
context: An unearthly beautiful princess arrived riding on a purple cloud.\The woman smiled, and her smile illuminated our dark world.\Odakyu Katase Enoshima Station\Well, then.\What are you gonna do?\So pretty!\How was it?\Did you find anything good? response:	Sakuragai, sakuragai.
