context: 31st - Gala Concert response:	I thought if I came to the music room, you'd be here...
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here... response:	But I have no way of contacting you.
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you. response:	I don't know your phone number or your email address.
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address. response:	I...
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address.\I... response:	Kousei!
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address.\I...\Kousei! response:	It's Kao-chan...
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address.\I...\Kousei!\It's Kao-chan... response:	She collapsed, and she's in the hospital.
context: 31st - Gala Concert\I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address.\I...\Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital. response:	Totsuhara University Hospital
context: I thought if I came to the music room, you'd be here...\But I have no way of contacting you.\I don't know your phone number or your email address.\I...\Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital response:	Hey there! How'd it go yesterday?
context: But I have no way of contacting you.\I don't know your phone number or your email address.\I...\Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday? response:	I was going to contact you,
context: I don't know your phone number or your email address.\I...\Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you, response:	but I wasn't quite up to it,
context: I...\Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it, response:	and so I thought if you could withdraw...
context: Kousei!\It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw... response:	Sorry I couldn't make it.
context: It's Kao-chan...\She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it. response:	Hey, what did you get?
context: She collapsed, and she's in the hospital.\Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get? response:	Some cake from Yoshitomo. Girls like that stuff, right?
context: Totsuhara University Hospital\Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right? response:	Her family runs a cake shop, you know!
context: Hey there! How'd it go yesterday?\I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know! response:	Well, it's the thought that counts.
context: I was going to contact you,\but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts. response:	Here we are!
context: but I wasn't quite up to it,\and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are! response:	We brought you something!
context: and so I thought if you could withdraw...\Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are!\We brought you something! response:	Thanks!
context: Sorry I couldn't make it.\Hey, what did you get?\Some cake from Yoshitomo. Girls like that stuff, right?\Her family runs a cake shop, you know!\Well, it's the thought that counts.\Here we are!\We brought you something!\Thanks! response:	Well? How do you feel?
