context: Fly response:	I didn't know we had that.
context: Fly\I didn't know we had that. response:	Do your best.
context: Fly\I didn't know we had that.\Do your best. response:	You're all out of control.
context: Fly\I didn't know we had that.\Do your best.\You're all out of control. response:	We're going to win the first round for sure!
context: Fly\I didn't know we had that.\Do your best.\You're all out of control.\We're going to win the first round for sure! response:	Yeah.
context: Fly\I didn't know we had that.\Do your best.\You're all out of control.\We're going to win the first round for sure!\Yeah. response:	We have the strength of a hundred men!
context: Fly\I didn't know we had that.\Do your best.\You're all out of control.\We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men! response:	Hey.
context: Fly\I didn't know we had that.\Do your best.\You're all out of control.\We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men!\Hey. response:	You know, this is going to be our last
context: I didn't know we had that.\Do your best.\You're all out of control.\We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men!\Hey.\You know, this is going to be our last response:	Don't talk.
context: Do your best.\You're all out of control.\We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men!\Hey.\You know, this is going to be our last\Don't talk. response:	Huh?
context: You're all out of control.\We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men!\Hey.\You know, this is going to be our last\Don't talk.\Huh? response:	You were going to say something sentimental, weren't you?
context: We're going to win the first round for sure!\Yeah.\We have the strength of a hundred men!\Hey.\You know, this is going to be our last\Don't talk.\Huh?\You were going to say something sentimental, weren't you? response:	This is going to be our last Inter-High, or something, right?
context: Yeah.\We have the strength of a hundred men!\Hey.\You know, this is going to be our last\Don't talk.\Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right? response:	This is going to be our last Inter-High.
context: We have the strength of a hundred men!\Hey.\You know, this is going to be our last\Don't talk.\Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High. response:	Yeah.
context: Hey.\You know, this is going to be our last\Don't talk.\Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah. response:	We've sure been through a lot together.
context: You know, this is going to be our last\Don't talk.\Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together. response:	Don't talk like we're about to die.
context: Don't talk.\Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together.\Don't talk like we're about to die. response:	What? That's not what I'm saying.
context: Huh?\You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying. response:	The three of us stood in silence
context: You were going to say something sentimental, weren't you?\This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence response:	last night gazing at the stars, contemplating our last Inter-High.
context: This is going to be our last Inter-High, or something, right?\This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High. response:	I was hoping we'dsay encouraging things to each other, to raise our morale.
context: This is going to be our last Inter-High.\Yeah.\We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale. response:	But you guys left without saying a word.
context: Yeah.\We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word. response:	Shimizu's surprise raised our morale 120.
context: We've sure been through a lot together.\Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120. response:	Well... yeah... but...
context: Don't talk like we're about to die.\What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but... response:	Miyagi Prefecture Karasuno High School
context: What? That's not what I'm saying.\The three of us stood in silence\last night gazing at the stars, contemplating our last Inter-High.\I was hoping we'dsay encouraging things to each other, to raise our morale.\But you guys left without saying a word.\Shimizu's surprise raised our morale 120.\Well... yeah... but...\Miyagi Prefecture Karasuno High School response:	We're going to win the first and second rounds today,
