context: TS response:	SCRIPT
context: TS\SCRIPT response:	You're going to die... Abandoned, still longing...
context: TS\SCRIPT\You're going to die... Abandoned, still longing... response:	Four days. August 15th.
context: TS\SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th. response:	The world itself has decided that you will die.
context: TS\SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die. response:	There's no avoiding it.
context: TS\SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it. response:	But I won't let it happen.
context: TS\SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen. response:	I'll fight the world!
context: TS\SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen.\I'll fight the world! response:	I will save Mayuri!
context: SCRIPT\You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen.\I'll fight the world!\I will save Mayuri! response:	The coin locker...
context: You're going to die... Abandoned, still longing...\Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen.\I'll fight the world!\I will save Mayuri!\The coin locker... response:	In front of the Daibiru.
context: Four days. August 15th.\The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen.\I'll fight the world!\I will save Mayuri!\The coin locker...\In front of the Daibiru. response:	The IBN 5100...
context: The world itself has decided that you will die.\There's no avoiding it.\But I won't let it happen.\I'll fight the world!\I will save Mayuri!\The coin locker...\In front of the Daibiru.\The IBN 5100... response:	OP
context: There's no avoiding it.\But I won't let it happen.\I'll fight the world!\I will save Mayuri!\The coin locker...\In front of the Daibiru.\The IBN 5100...\OP response:	suujuuoku mono kodou no kazu sae
context: But I won't let it happen.\I'll fight the world!\I will save Mayuri!\The coin locker...\In front of the Daibiru.\The IBN 5100...\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: I'll fight the world!\I will save Mayuri!\The coin locker...\In front of the Daibiru.\The IBN 5100...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: I will save Mayuri!\The coin locker...\In front of the Daibiru.\The IBN 5100...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: The coin locker...\In front of the Daibiru.\The IBN 5100...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: In front of the Daibiru.\The IBN 5100...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: The IBN 5100...\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
