context: It was difficult to write calligraphy on a boat, response:	so it was a good experience.
context: It was difficult to write calligraphy on a boat,\so it was a good experience. response:	Once I thought of it as soiling white paper,
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper, response:	that made it easy to do.
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do. response:	Thanks to that, my brush feels less heavy now.
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now. response:	There's one month until the Naruka Institute Calligraphy Exhibition.
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition. response:	With a month, this time I should be...
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be... response:	Here! Eat up!
context: It was difficult to write calligraphy on a boat,\so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up! response:	What is this?
context: so it was a good experience.\Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up!\What is this? response:	Konomon.
context: Once I thought of it as soiling white paper,\that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up!\What is this?\Konomon. response:	Konomon?
context: that made it easy to do.\Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up!\What is this?\Konomon.\Konomon? response:	All of this for me?
context: Thanks to that, my brush feels less heavy now.\There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up!\What is this?\Konomon.\Konomon?\All of this for me? response:	I'll come bringin' more when you run out.
context: There's one month until the Naruka Institute Calligraphy Exhibition.\With a month, this time I should be...\Here! Eat up!\What is this?\Konomon.\Konomon?\All of this for me?\I'll come bringin' more when you run out. response:	He really does come and go through the back way.
context: With a month, this time I should be...\Here! Eat up!\What is this?\Konomon.\Konomon?\All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way. response:	There's no way I can eat all this pickled daikon myself.
context: Here! Eat up!\What is this?\Konomon.\Konomon?\All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself. response:	It's good!
context: What is this?\Konomon.\Konomon?\All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good! response:	However, I need to focus on calligraphy now.
context: Konomon.\Konomon?\All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now. response:	I'll use a more novel calligraphy style,
context: Konomon?\All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style, response:	for an artistic konomon
context: All of this for me?\I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon response:	Not konomon!
context: I'll come bringin' more when you run out.\He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon! response:	I'll write!
context: He really does come and go through the back way.\There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon!\I'll write! response:	I'll write on konomon
context: There's no way I can eat all this pickled daikon myself.\It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon!\I'll write!\I'll write on konomon response:	Not konomon!
context: It's good!\However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon!\I'll write!\I'll write on konomon\Not konomon! response:	The Konomon Institute Calligraphy Exhibition is next month
context: However, I need to focus on calligraphy now.\I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon!\I'll write!\I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month response:	Not Konomon Institute Calligraphy Exhibition!
context: I'll use a more novel calligraphy style,\for an artistic konomon\Not konomon!\I'll write!\I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition! response:	Konomon!
context: for an artistic konomon\Not konomon!\I'll write!\I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon! response:	Konomon.
context: Not konomon!\I'll write!\I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon. response:	Konomon!
context: I'll write!\I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon.\Konomon! response:	Konomon
context: I'll write on konomon\Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon.\Konomon!\Konomon response:	Konomon!
context: Not konomon!\The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon.\Konomon!\Konomon\Konomon! response:	Barakamon
context: The Konomon Institute Calligraphy Exhibition is next month\Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon.\Konomon!\Konomon\Konomon!\Barakamon response:	Un ni Oegii
context: Not Konomon Institute Calligraphy Exhibition!\Konomon!\Konomon.\Konomon!\Konomon\Konomon!\Barakamon\Un ni Oegii response:	Translation: Going Swimming at the Beach
context: Konomon!\Konomon.\Konomon!\Konomon\Konomon!\Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach response:	Konomon... konomon...
context: Konomon.\Konomon!\Konomon\Konomon!\Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon... response:	Konomon... konomon...
context: Konomon!\Konomon\Konomon!\Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon... response:	Konomon... konomon...
context: Konomon\Konomon!\Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon...\Konomon... konomon... response:	Konomon?
context: Konomon!\Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon...\Konomon... konomon...\Konomon? response:	I'll come bringin' more when you run out.
context: Barakamon\Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon...\Konomon... konomon...\Konomon?\I'll come bringin' more when you run out. response:	Konomon!
context: Un ni Oegii\Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon...\Konomon... konomon...\Konomon?\I'll come bringin' more when you run out.\Konomon! response:	Teach us calligraphy!
context: Translation: Going Swimming at the Beach\Konomon... konomon...\Konomon... konomon...\Konomon... konomon...\Konomon?\I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy! response:	It's you guys?!
context: Konomon... konomon...\Konomon... konomon...\Konomon... konomon...\Konomon?\I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy!\It's you guys?! response:	That's awful rude of you.
context: Konomon... konomon...\Konomon... konomon...\Konomon?\I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy!\It's you guys?!\That's awful rude of you. response:	Sorry.
context: Konomon... konomon...\Konomon?\I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy!\It's you guys?!\That's awful rude of you.\Sorry. response:	Here.
context: Konomon?\I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy!\It's you guys?!\That's awful rude of you.\Sorry.\Here. response:	Grampa said ya can never have too much, an' told me to bring this.
context: I'll come bringin' more when you run out.\Konomon!\Teach us calligraphy!\It's you guys?!\That's awful rude of you.\Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this. response:	Thank you...
context: Konomon!\Teach us calligraphy!\It's you guys?!\That's awful rude of you.\Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you... response:	Sensei, help us with our assignment.
context: Teach us calligraphy!\It's you guys?!\That's awful rude of you.\Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment. response:	First, hold the brush in your right hand.
context: It's you guys?!\That's awful rude of you.\Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand. response:	This's my right hand!
context: That's awful rude of you.\Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand! response:	Exactly.
context: Sorry.\Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand!\Exactly. response:	You can't do calligraphy left-handed?
context: Here.\Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand!\Exactly.\You can't do calligraphy left-handed? response:	It's not impossible, but inkstone placement and such make it harder.
context: Grampa said ya can never have too much, an' told me to bring this.\Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand!\Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder. response:	So, what's your assignment?
context: Thank you...\Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand!\Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment? response:	Let's see...
context: Sensei, help us with our assignment.\First, hold the brush in your right hand.\This's my right hand!\Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see... response:	Learning From The Past
context: First, hold the brush in your right hand.\This's my right hand!\Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see...\Learning From The Past response:	It's this.
context: This's my right hand!\Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see...\Learning From The Past\It's this. response:	Okay, I'll write the example, so watch closely.
context: Exactly.\You can't do calligraphy left-handed?\It's not impossible, but inkstone placement and such make it harder.\So, what's your assignment?\Let's see...\Learning From The Past\It's this.\Okay, I'll write the example, so watch closely. response:	That's too close.
