context: Subaru, I'm coming in. response:	O-Ojou-sama, please wait one moment.
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment. response:	You're not dressed yet?
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet? response:	I apologize.
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize. response:	I'll fix it for you.
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize.\I'll fix it for you. response:	Sit over here.
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize.\I'll fix it for you.\Sit over here. response:	Are you nervous about starting the second semester?
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize.\I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester? response:	No, that's not...
context: Subaru, I'm coming in.\O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize.\I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester?\No, that's not... response:	Liar.
context: O-Ojou-sama, please wait one moment.\You're not dressed yet?\I apologize.\I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester?\No, that's not...\Liar. response:	Look, your heart's beating so fast.
context: You're not dressed yet?\I apologize.\I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester?\No, that's not...\Liar.\Look, your heart's beating so fast. response:	Did something happen recently?
context: I apologize.\I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester?\No, that's not...\Liar.\Look, your heart's beating so fast.\Did something happen recently? response:	You really shouldn't take it all upon yourself, Subaru.
context: I'll fix it for you.\Sit over here.\Are you nervous about starting the second semester?\No, that's not...\Liar.\Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru. response:	It's nothing really.
context: Sit over here.\Are you nervous about starting the second semester?\No, that's not...\Liar.\Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really. response:	Does it have something to do with Jirou?
context: Are you nervous about starting the second semester?\No, that's not...\Liar.\Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou? response:	Did he ask what pattern you have on your underwear?
context: No, that's not...\Liar.\Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear? response:	Just kidding. However, please tell me if you have something on your mind, okay?
context: Liar.\Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay? response:	Nyu!
context: Look, your heart's beating so fast.\Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu! response:	It's the new school term!
context: Did something happen recently?\You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term! response:	Makura Hold!
context: You really shouldn't take it all upon yourself, Subaru.\It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term!\Makura Hold! response:	Texas Clover Hold!
context: It's nothing really.\Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term!\Makura Hold!\Texas Clover Hold! response:	Buster Crack!
context: Does it have something to do with Jirou?\Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term!\Makura Hold!\Texas Clover Hold!\Buster Crack! response:	I have morning practice, so I'll be heading out first, okay?
context: Did he ask what pattern you have on your underwear?\Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term!\Makura Hold!\Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay? response:	Jeez, even though I'm used to it, getting it in the morning is tough.
context: Just kidding. However, please tell me if you have something on your mind, okay?\Nyu!\It's the new school term!\Makura Hold!\Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough. response:	Morning...
context: Nyu!\It's the new school term!\Makura Hold!\Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning... response:	Morning.
context: It's the new school term!\Makura Hold!\Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning. response:	Let's go.
context: Makura Hold!\Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning.\Let's go. response:	Do you still think that I'm going to leak your secret?
context: Texas Clover Hold!\Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning.\Let's go.\Do you still think that I'm going to leak your secret? response:	I believe in you, Jirou...
context: Buster Crack!\I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning.\Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou... response:	as my best friend.
context: I have morning practice, so I'll be heading out first, okay?\Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning.\Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend. response:	We're best friends.
context: Jeez, even though I'm used to it, getting it in the morning is tough.\Morning...\Morning.\Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend.\We're best friends. response:	Is that so?
context: Morning...\Morning.\Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend.\We're best friends.\Is that so? response:	But I apologize.
context: Morning.\Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend.\We're best friends.\Is that so?\But I apologize. response:	Hm?
context: Let's go.\Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend.\We're best friends.\Is that so?\But I apologize.\Hm? response:	I didn't heal your gynophobia.
context: Do you still think that I'm going to leak your secret?\I believe in you, Jirou...\as my best friend.\We're best friends.\Is that so?\But I apologize.\Hm?\I didn't heal your gynophobia. response:	If it were that easy to heal, I wouldn't have gone through the trouble.
