context: Gotcha! response:	Stick with your close range weapons!
context: Gotcha!\Stick with your close range weapons! response:	but the goblins might be stronger than us.
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us. response:	How many of us are there?
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there? response:	It looks almost like a castle rather than a town.
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town. response:	Familiar or not, I can't remember anybody...
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody... response:	Excuse me, does anybody know where we are?
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are? response:	You can call me Chief. Or Bri, but only if you say it affectionately.
context: Gotcha!\Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately. response:	Give us answers.
context: Stick with your close range weapons!\but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers. response:	You wanna find out for yourself?
context: but the goblins might be stronger than us.\How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself? response:	In time.
context: How many of us are there?\It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself?\In time. response:	And then I'll get you good.
context: It looks almost like a castle rather than a town.\Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself?\In time.\And then I'll get you good. response:	You should be able to live off of it for the time being.
context: Familiar or not, I can't remember anybody...\Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself?\In time.\And then I'll get you good.\You should be able to live off of it for the time being. response:	I don't have my cell phone either.
context: Excuse me, does anybody know where we are?\You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself?\In time.\And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either. response:	I adore fast learners.
context: You can call me Chief. Or Bri, but only if you say it affectionately.\Give us answers.\You wanna find out for yourself?\In time.\And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners. response:	We spent eight silvers to join a guild, so we each have two silvers left.
context: Give us answers.\You wanna find out for yourself?\In time.\And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left. response:	One silver equals one hundred coppers...
context: You wanna find out for yourself?\In time.\And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers... response:	so even if we use the minimum for living expenses, we'll only last about two weeks.
context: In time.\And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks. response:	You should feel honored.
context: And then I'll get you good.\You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored. response:	This is great to watch, you hear?
context: You should be able to live off of it for the time being.\I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear? response:	Keep going!
context: I don't have my cell phone either.\I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear?\Keep going! response:	Of course.
context: I adore fast learners.\We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear?\Keep going!\Of course. response:	What the heck are you doing, Haruhiro?
context: We spent eight silvers to join a guild, so we each have two silvers left.\One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear?\Keep going!\Of course.\What the heck are you doing, Haruhiro? response:	Get'em and stab! Stick'em!
context: One silver equals one hundred coppers...\so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear?\Keep going!\Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em! response:	It's not that easy! It's not like you're
context: so even if we use the minimum for living expenses, we'll only last about two weeks.\You should feel honored.\This is great to watch, you hear?\Keep going!\Of course.\What the heck are you doing, Haruhiro?\Get'em and stab! Stick'em!\It's not that easy! It's not like you're response:	S-Sorry!
