context: It is the end of the 1990's. response:	Japan was suffering the greatest economic recession since the War.
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War. response:	What with the repeated chain reactions of bankrupcies...
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies... response:	atrocious crimes committed by juveniles, and so on...
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on... response:	Also at this time,
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time, response:	the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School... response:	Arima Souichirou, the one who changed her,
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her, response:	was a real model student who tried to bear all his misery by himself.
context: It is the end of the 1990's.\Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself. response:	After a lot of fuss,
context: Japan was suffering the greatest economic recession since the War.\What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss, response:	these two came to share a secret as model students with dual personalities.
context: What with the repeated chain reactions of bankrupcies...\atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities. response:	Later, after passing through phases as partners in the Student Assembly,
context: atrocious crimes committed by juveniles, and so on...\Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly, response:	and more than friends but not quite lovers,
context: Also at this time,\the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers, response:	they finally became a couple.
context: the masked honor student Miyazawa Yukino, in class 1-A of the Kanazawa Prefectural Hokuei High School...\Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple. response:	These two, affected by each other,
context: Arima Souichirou, the one who changed her,\was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other, response:	decided to live for their own true happiness.
context: was a real model student who tried to bear all his misery by himself.\After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness. response:	Miyazawa Yukino savors her transient happiness.
context: After a lot of fuss,\these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness. response:	But the world was harsh.
context: these two came to share a secret as model students with dual personalities.\Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh. response:	The menace of the Athletic Festival, the campus event which forced them to be...
context: Later, after passing through phases as partners in the Student Assembly,\and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be... response:	The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...
context: and more than friends but not quite lovers,\they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her... response:	hoping to break them up, while plotting to use Arima once he became single again,
context: they finally became a couple.\These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again, response:	The drop in their semester finals grades which resulted from their yielding to...
context: These two, affected by each other,\decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to... response:	and her resulting unilateral feelings of alienation;
context: decided to live for their own true happiness.\Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation; response:	And in addition, interference and pressure from the teachers at school,
context: Miyazawa Yukino savors her transient happiness.\But the world was harsh.\The menace of the Athletic Festival, the campus event which forced them to be...\The appearance of the wanton, perverted, heart-throb Asaba Hideaki, who criticized her...\hoping to break them up, while plotting to use Arima once he became single again,\The drop in their semester finals grades which resulted from their yielding to...\and her resulting unilateral feelings of alienation;\And in addition, interference and pressure from the teachers at school, response:	who were trying to end their academic slump, which came to even involve their parents;
