context: No doubt about it. Goku has landed on Planet Namek. response:	Son...
context: No doubt about it. Goku has landed on Planet Namek.\Son... response:	Touchdown. Touchdown on Planet Namek.
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek. response:	Disembarkation okay. Disembarkation okay. Opening door. Opening door.
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door. response:	What's this? Whose spaceship is that?
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that? response:	It's Goku! Goku has finally arrived!
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived! response:	I have to find those three quickly.
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly. response:	Be alive, Kuririn, Gohan, and Bulma.
context: No doubt about it. Goku has landed on Planet Namek.\Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma. response:	There's one over this way...
context: Son...\Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way... response:	What is this?
context: Touchdown. Touchdown on Planet Namek.\Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this? response:	This place is packed with guys that have ridiculously enormous Ki.
context: Disembarkation okay. Disembarkation okay. Opening door. Opening door.\What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki. response:	Gohan! Kuririn is in bad shape, too! Both of them are near death!
context: What's this? Whose spaceship is that?\It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death! response:	They're close, where those three other huge Ki are gathered.
context: It's Goku! Goku has finally arrived!\I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered. response:	I'll be right there. Just hang in there.
context: I have to find those three quickly.\Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there. response:	Now's the time when I show off the results
context: Be alive, Kuririn, Gohan, and Bulma.\There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results response:	of the 100-times gravity training I went through.
context: There's one over this way...\What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through. response:	Gohan...
context: What is this?\This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan... response:	K- Kakarrot, you bastard... are you finally here?
context: This place is packed with guys that have ridiculously enormous Ki.\Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here? response:	Goku...
context: Gohan! Kuririn is in bad shape, too! Both of them are near death!\They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku... response:	Kuririn, I'll give you a senzu bean right away too, okay?
context: They're close, where those three other huge Ki are gathered.\I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay? response:	Okay, Gohan, here's a senzu. Eat it.
context: I'll be right there. Just hang in there.\Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it. response:	Gohan! Hey, Gohan!
context: Now's the time when I show off the results\of the 100-times gravity training I went through.\Gohan...\K- Kakarrot, you bastard... are you finally here?\Goku...\Kuririn, I'll give you a senzu bean right away too, okay?\Okay, Gohan, here's a senzu. Eat it.\Gohan! Hey, Gohan! response:	It's no good. Your neck is broken, and you're barely breathing.
