context: Is something wrong, Goddess? response:	No, it's nothing.
context: Is something wrong, Goddess?\No, it's nothing. response:	He's growing too fast.
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast. response:	I know he had some kind of extraordinary experience, but...
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but... response:	That's not enough to explain this.
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this. response:	It must be because...
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because... response:	Realis Phrase!
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because...\Realis Phrase! response:	In other words, Wallenwhatsit!
context: Is something wrong, Goddess?\No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because...\Realis Phrase!\In other words, Wallenwhatsit! response:	Skill effect: quick growth.
context: No, it's nothing.\He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because...\Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth. response:	As long as his feelings remain, it'll stay in effect.
context: He's growing too fast.\I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because...\Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect. response:	And the stronger his feelings, the more its effects grow.
context: I know he had some kind of extraordinary experience, but...\That's not enough to explain this.\It must be because...\Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow. response:	Forget your dumb feelings!
context: That's not enough to explain this.\It must be because...\Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings! response:	Bell, you cheater!
context: It must be because...\Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater! response:	You huge cheater!
context: Realis Phrase!\In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater!\You huge cheater! response:	But is it okay to tell Bell his real ability scores?
context: In other words, Wallenwhatsit!\Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores? response:	I want to get stronger.
context: Skill effect: quick growth.\As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger. response:	The other gods might be watching, so I can't tell him about his skill, either.
context: As long as his feelings remain, it'll stay in effect.\And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either. response:	Bell, can I just tell you about your status today?
context: And the stronger his feelings, the more its effects grow.\Forget your dumb feelings!\Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today? response:	Oh, sure.
context: Forget your dumb feelings!\Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure. response:	I've decided.
context: Bell, you cheater!\You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure.\I've decided. response:	I'm going to give him a push forward!
context: You huge cheater!\But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure.\I've decided.\I'm going to give him a push forward! response:	Is It Wrong to Try to Pick Up Girls in a Dungeon?
context: But is it okay to tell Bell his real ability scores?\I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure.\I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon? response:	Monsterphilia Monster Festival
context: I want to get stronger.\The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure.\I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival response:	M-My status has gone up that much?
context: The other gods might be watching, so I can't tell him about his skill, either.\Bell, can I just tell you about your status today?\Oh, sure.\I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much? response:	Yes.
context: Bell, can I just tell you about your status today?\Oh, sure.\I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much?\Yes. response:	You're growing at an incredible rate right now.
context: Oh, sure.\I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now. response:	It's like a growth spurt.
context: I've decided.\I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now.\It's like a growth spurt. response:	Right.
context: I'm going to give him a push forward!\Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now.\It's like a growth spurt.\Right. response:	This is just my personal opinion,
context: Is It Wrong to Try to Pick Up Girls in a Dungeon?\Monsterphilia Monster Festival\M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now.\It's like a growth spurt.\Right.\This is just my personal opinion, response:	but I think you have talent.
context: Monsterphilia Monster Festival\M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now.\It's like a growth spurt.\Right.\This is just my personal opinion,\but I think you have talent. response:	You'll become strong, for sure.
context: M-My status has gone up that much?\Yes.\You're growing at an incredible rate right now.\It's like a growth spurt.\Right.\This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure. response:	And you want to become stronger yourself.
context: Yes.\You're growing at an incredible rate right now.\It's like a growth spurt.\Right.\This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself. response:	Yes.
context: You're growing at an incredible rate right now.\It's like a growth spurt.\Right.\This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself.\Yes. response:	I respect your desire.
context: It's like a growth spurt.\Right.\This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself.\Yes.\I respect your desire. response:	I'll support you and help you.
context: Right.\This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself.\Yes.\I respect your desire.\I'll support you and help you. response:	I'll lend you my powers.
context: This is just my personal opinion,\but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself.\Yes.\I respect your desire.\I'll support you and help you.\I'll lend you my powers. response:	So promise me you won't be so rash anymore.
context: but I think you have talent.\You'll become strong, for sure.\And you want to become stronger yourself.\Yes.\I respect your desire.\I'll support you and help you.\I'll lend you my powers.\So promise me you won't be so rash anymore. response:	Please. Don't leave me alone!
