context: I shot down Dodoria! response:	I easily beat Dodoria, who took such pride in his own power!
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power! response:	Even l'm surprised by how much I've improved.
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved. response:	It truly seems that my battle on Earth was not in vain.
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain. response:	Be that as it may, Dodoria did say something curious...
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious... response:	I see now. Those runts I was chasing earlier were Earthlings, weren't they!?
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!? response:	I do indeed sense two large powers getting farther away.
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away. response:	Of course they couldn't be Earthlings, but it's still disturbing.
context: I shot down Dodoria!\I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing. response:	Maybe I should go look into it, just to see.
context: I easily beat Dodoria, who took such pride in his own power!\Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see. response:	Whatever the case, I have to get rid of even the small fries that stand in my way.
context: Even l'm surprised by how much I've improved.\It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way. response:	The cave that Bulma- san is hiding in is right over there.
context: It truly seems that my battle on Earth was not in vain.\Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there. response:	For this being a planet you've never been to before, I'm surprised you remember so well.
context: Be that as it may, Dodoria did say something curious...\I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well. response:	What's that!? Something is coming! It's incredibly fast!
context: I see now. Those runts I was chasing earlier were Earthlings, weren't they!?\I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast! response:	Hide! Quickly!
context: I do indeed sense two large powers getting farther away.\Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly! response:	Right!
context: Of course they couldn't be Earthlings, but it's still disturbing.\Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right! response:	We'll be found if we stay here, won't we?
context: Maybe I should go look into it, just to see.\Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right!\We'll be found if we stay here, won't we? response:	Never mind, just hurry up and suppress your Ki!
context: Whatever the case, I have to get rid of even the small fries that stand in my way.\The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki! response:	All we can do now is leave our fate up to heaven.
context: The cave that Bulma- san is hiding in is right over there.\For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven. response:	Will it be someone like that monster from earlier?
context: For this being a planet you've never been to before, I'm surprised you remember so well.\What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier? response:	Dammit, how did they know where we were?
context: What's that!? Something is coming! It's incredibly fast!\Hide! Quickly!\Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were? response:	Both of the power readings have disappeared. What's going on?
context: Hide! Quickly!\Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on? response:	Over in that area, all of a sudden...
context: Right!\We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden... response:	K- Kuririn- san! O- over there!
context: We'll be found if we stay here, won't we?\Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there! response:	V - Vegeta! T - then he is on this planet, after all!
context: Never mind, just hurry up and suppress your Ki!\All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all! response:	How can he be here!? This is the absolute worst thing that could happen!
context: All we can do now is leave our fate up to heaven.\Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen! response:	He's still looking.
context: Will it be someone like that monster from earlier?\Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking. response:	He wasn't wearing one of those Scouter devices.
context: Dammit, how did they know where we were?\Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices. response:	And yet, how is it that he can tell where we are?
context: Both of the power readings have disappeared. What's going on?\Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are? response:	D- don't tell me he has the ability to sense Ki!
context: Over in that area, all of a sudden...\K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki! response:	If that's the case, then this is bad.
context: K- Kuririn- san! O- over there!\V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad. response:	We might be able to extinguish our Ki, but this kid still has a faint one.
context: V - Vegeta! T - then he is on this planet, after all!\How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one. response:	Damn. Was I mistaken?
context: How can he be here!? This is the absolute worst thing that could happen!\He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken? response:	Is it because I'm not yet used to using this power sensing technique?
context: He's still looking.\He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique? response:	Maybe I shouldn't have destroyed that Scouter.
context: He wasn't wearing one of those Scouter devices.\And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter. response:	I'm sensing a small power.
context: And yet, how is it that he can tell where we are?\D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power. response:	It's no mistake this time. Let's check it out.
context: D- don't tell me he has the ability to sense Ki!\If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out. response:	He's coming this way!
context: If that's the case, then this is bad.\We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way! response:	lt's hopeless! He's going to find us!
context: We might be able to extinguish our Ki, but this kid still has a faint one.\Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us! response:	It's near that rock over there.
context: Damn. Was I mistaken?\Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there. response:	At this point, all we can do is fight.
context: Is it because I'm not yet used to using this power sensing technique?\Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight. response:	Even though we know we'll get killed.
context: Maybe I shouldn't have destroyed that Scouter.\I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed. response:	Let's go!
context: I'm sensing a small power.\It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go! response:	Right!
context: It's no mistake this time. Let's check it out.\He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go!\Right! response:	Now!
context: He's coming this way!\lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go!\Right!\Now! response:	Tch! It was a fish?
context: lt's hopeless! He's going to find us!\It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go!\Right!\Now!\Tch! It was a fish? response:	Oh, well. Right now, the first order of business is to get the two-
context: It's near that rock over there.\At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go!\Right!\Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two- response:	no, even just one of the remaining Dragon Balls.
context: At this point, all we can do is fight.\Even though we know we'll get killed.\Let's go!\Right!\Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls. response:	Once I've hidden it,
context: Even though we know we'll get killed.\Let's go!\Right!\Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it, response:	Freeza and the others will no longer be able to get all seven together.
context: Let's go!\Right!\Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together. response:	Then I'll find the chance to take the five
context: Right!\Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five response:	that Freeza and company have away from them.
context: Now!\Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them. response:	Their having lost their Scouters means
context: Tch! It was a fish?\Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means response:	that luck has shifted in Vegeta- sama's favor!
context: Oh, well. Right now, the first order of business is to get the two-\no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means\that luck has shifted in Vegeta- sama's favor! response:	W- we're saved!
context: no, even just one of the remaining Dragon Balls.\Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means\that luck has shifted in Vegeta- sama's favor!\W- we're saved! response:	I thought it was completely hopeless there.
context: Once I've hidden it,\Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means\that luck has shifted in Vegeta- sama's favor!\W- we're saved!\I thought it was completely hopeless there. response:	Lucky for us, huh? We have that guy in the water to thank.
context: Freeza and the others will no longer be able to get all seven together.\Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means\that luck has shifted in Vegeta- sama's favor!\W- we're saved!\I thought it was completely hopeless there.\Lucky for us, huh? We have that guy in the water to thank. response:	Anyhow, let's get back to where Bulma- san is,
context: Then I'll find the chance to take the five\that Freeza and company have away from them.\Their having lost their Scouters means\that luck has shifted in Vegeta- sama's favor!\W- we're saved!\I thought it was completely hopeless there.\Lucky for us, huh? We have that guy in the water to thank.\Anyhow, let's get back to where Bulma- san is, response:	while keeping our presence as masked as we can.
