context: Amagiri Shinmei Style response:	Um...
context: Amagiri Shinmei Style\Um... response:	A-Amagiri Shinmei Style First Sword,
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword, response:	Twin Dragons!
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons! response:	Let's call it a day.
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day. response:	Thank you very much.
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day.\Thank you very much. response:	Big Sis Haru sure is powerful, huh?
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh? response:	Saya-chan?
context: Amagiri Shinmei Style\Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan? response:	You were watching?
context: Um...\A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching? response:	Yeah.
context: A-Amagiri Shinmei Style First Sword,\Twin Dragons!\Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching?\Yeah. response:	Hey, listen...
context: Twin Dragons!\Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching?\Yeah.\Hey, listen... response:	About that favor...
context: Let's call it a day.\Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching?\Yeah.\Hey, listen...\About that favor... response:	- Can't we just forget about - Nope.
context: Thank you very much.\Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching?\Yeah.\Hey, listen...\About that favor...\- Can't we just forget about - Nope. response:	But see, yelling out the name of the move is kind of embarrassing.
context: Big Sis Haru sure is powerful, huh?\Saya-chan?\You were watching?\Yeah.\Hey, listen...\About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing. response:	No, it's not.
context: Saya-chan?\You were watching?\Yeah.\Hey, listen...\About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not. response:	It's totally cool, so don't worry!
context: You were watching?\Yeah.\Hey, listen...\About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry! response:	You think so?
context: Yeah.\Hey, listen...\About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry!\You think so? response:	You'll be fine. You'll get used to it soon.
context: Hey, listen...\About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon. response:	Okay, then, about the favor I'm gonna ask you...
context: About that favor...\- Can't we just forget about - Nope.\But see, yelling out the name of the move is kind of embarrassing.\No, it's not.\It's totally cool, so don't worry!\You think so?\You'll be fine. You'll get used to it soon.\Okay, then, about the favor I'm gonna ask you... response:	FAVOR TICKET
