context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	He's turned the tables.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables. response:	Since he can use that sword, I thought he might be their descendant, but...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but... response:	Show me who you really are!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are! response:	Not in the Slightest
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest response:	Huh?
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest\Huh? response:	What is this place?
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest\Huh?\What is this place? response:	Wait, does this mean...
context: He was called the Wizard King, and he became a legend.\He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest\Huh?\What is this place?\Wait, does this mean... response:	that I di
context: He's turned the tables.\Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest\Huh?\What is this place?\Wait, does this mean...\that I di response:	Hey... No way.
context: Since he can use that sword, I thought he might be their descendant, but...\Show me who you really are!\Not in the Slightest\Huh?\What is this place?\Wait, does this mean...\that I di\Hey... No way. response:	I haven't married Sister yet.
context: Show me who you really are!\Not in the Slightest\Huh?\What is this place?\Wait, does this mean...\that I di\Hey... No way.\I haven't married Sister yet. response:	And besides...
context: Not in the Slightest\Huh?\What is this place?\Wait, does this mean...\that I di\Hey... No way.\I haven't married Sister yet.\And besides... response:	Damn...
context: Huh?\What is this place?\Wait, does this mean...\that I di\Hey... No way.\I haven't married Sister yet.\And besides...\Damn... response:	it...
context: What is this place?\Wait, does this mean...\that I di\Hey... No way.\I haven't married Sister yet.\And besides...\Damn...\it... response:	Heya.
context: Wait, does this mean...\that I di\Hey... No way.\I haven't married Sister yet.\And besides...\Damn...\it...\Heya. response:	Who the hell are you?!
context: that I di\Hey... No way.\I haven't married Sister yet.\And besides...\Damn...\it...\Heya.\Who the hell are you?! response:	Well, that's cold.
context: Hey... No way.\I haven't married Sister yet.\And besides...\Damn...\it...\Heya.\Who the hell are you?!\Well, that's cold. response:	I've been the one closest to you this whole time.
context: I haven't married Sister yet.\And besides...\Damn...\it...\Heya.\Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time. response:	Nope! I definitely don't know anyone like you!
context: And besides...\Damn...\it...\Heya.\Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you! response:	Well, whatever.
context: Damn...\it...\Heya.\Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever. response:	Regardless, this is a chance for me to obtain a physical body.
context: it...\Heya.\Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body. response:	So I'll be taking yours.
context: Heya.\Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours. response:	Hey! What's the big idea?!
context: Who the hell are you?!\Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?! response:	Oh, come on. It's not a bad deal.
context: Well, that's cold.\I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal. response:	You wanna win, right?
context: I've been the one closest to you this whole time.\Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right? response:	Against that human.
context: Nope! I definitely don't know anyone like you!\Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right?\Against that human. response:	I can make that happen for you.
context: Well, whatever.\Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right?\Against that human.\I can make that happen for you. response:	Shut up! I'm gonna defeat him with my own strength!
context: Regardless, this is a chance for me to obtain a physical body.\So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right?\Against that human.\I can make that happen for you.\Shut up! I'm gonna defeat him with my own strength! response:	Quit yappin' and let me take over your consciousness!
context: So I'll be taking yours.\Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right?\Against that human.\I can make that happen for you.\Shut up! I'm gonna defeat him with my own strength!\Quit yappin' and let me take over your consciousness! response:	All you've got to do is pass out.
context: Hey! What's the big idea?!\Oh, come on. It's not a bad deal.\You wanna win, right?\Against that human.\I can make that happen for you.\Shut up! I'm gonna defeat him with my own strength!\Quit yappin' and let me take over your consciousness!\All you've got to do is pass out. response:	A little dwarf like you has no chance of winning.
