context: Closing Ceremony response:	Congratulations on your win, Suiryu!
context: Closing Ceremony\Congratulations on your win, Suiryu! response:	We had a minor incident toward the end,
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end, response:	but in the end, you won, completely unscathed!
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed! response:	Unscathed?
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed? response:	If he hadn't pulled his punch, I would've...
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've... response:	Announcement
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've...\Announcement response:	We now have an announcement for everyone here.
context: Closing Ceremony\Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here. response:	There appear to be monsters outside right now,
context: Congratulations on your win, Suiryu!\We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now, response:	Monsters?
context: We had a minor incident toward the end,\but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters? response:	so we ask that you do not leave the venue until the police give the all-clear.
context: but in the end, you won, completely unscathed!\Unscathed?\If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear. response:	Again?
context: Unscathed?\If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again? response:	We'll be safe from the monsters in here.
context: If he hadn't pulled his punch, I would've...\Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here. response:	True.
context: Announcement\We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here.\True. response:	There's no point in dwelling on it.
context: We now have an announcement for everyone here.\There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here.\True.\There's no point in dwelling on it. response:	I just need to make sure I never see that guy again.
context: There appear to be monsters outside right now,\Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here.\True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again. response:	Hey, you're cute.
context: Monsters?\so we ask that you do not leave the venue until the police give the all-clear.\Again?\We'll be safe from the monsters in here.\True.\There's no point in dwelling on it.\I just need to make sure I never see that guy again.\Hey, you're cute. response:	Huh?
