context: Xiwu Palace is so large. response:	Will you be able to find the Hall of Beautiful Youth?
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth? response:	I probably can.
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can. response:	I'll walk you.
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you. response:	Your Highness.
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you.\Your Highness. response:	Your Highness!
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you.\Your Highness.\Your Highness! response:	Please beg His Highness.
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you.\Your Highness.\Your Highness!\Please beg His Highness. response:	It was Your Highness who told me to do this.
context: Xiwu Palace is so large.\Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you.\Your Highness.\Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this. response:	Your Highness.
context: Will you be able to find the Hall of Beautiful Youth?\I probably can.\I'll walk you.\Your Highness.\Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness. response:	You're saying I made you do it?
context: I probably can.\I'll walk you.\Your Highness.\Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it? response:	Miao Qing.
context: I'll walk you.\Your Highness.\Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it?\Miao Qing. response:	I had taken pity on you because of your infatuation with His Highness.
context: Your Highness.\Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness. response:	Yet, you are going to use this to accuse me of an injustice?
context: Your Highness!\Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice? response:	Your Highness, that is not what I meant!
context: Please beg His Highness.\It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant! response:	I had misjudged you.
context: It was Your Highness who told me to do this.\Your Highness.\You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you. response:	Your Highness, I spoke irresponsibly! Please forgive me!
context: Your Highness.\You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me! response:	Since His Highness has asked you to leave, you should not delay.
context: You're saying I made you do it?\Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay. response:	Leave now.
context: Miao Qing.\I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now. response:	Your Highness...
context: I had taken pity on you because of your infatuation with His Highness.\Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness... response:	Your Highness!
context: Yet, you are going to use this to accuse me of an injustice?\Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness...\Your Highness! response:	Are you all right, Your Highness? Did it go well?
context: Your Highness, that is not what I meant!\I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well? response:	Xin Nu.
context: I had misjudged you.\Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu. response:	I finally know why Ye Hua...
context: Your Highness, I spoke irresponsibly! Please forgive me!\Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua... response:	is so attached to her.
context: Since His Highness has asked you to leave, you should not delay.\Leave now.\Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua...\is so attached to her. response:	Your Highness, what are you saying?
context: Leave now.\Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying? response:	Just now...
context: Your Highness...\Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying?\Just now... response:	Just now, I saw Bai Qian of Qing Qiu.
context: Your Highness!\Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu. response:	Do you know who she looks like?
context: Are you all right, Your Highness? Did it go well?\Xin Nu.\I finally know why Ye Hua...\is so attached to her.\Your Highness, what are you saying?\Just now...\Just now, I saw Bai Qian of Qing Qiu.\Do you know who she looks like? response:	She actually looks no different from that mortal.
