context: My only thought as response:	I don't think so!
context: My only thought as\I don't think so! response:	I am put out to sea is to ask the fishermen
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen response:	Is she hurt?
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt? response:	Chihaya, too?!
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?! response:	Are you okay?
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?!\Are you okay? response:	Yes, I'm okay.
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?!\Are you okay?\Yes, I'm okay. response:	What's wrong?
context: My only thought as\I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?!\Are you okay?\Yes, I'm okay.\What's wrong? response:	Why does it hurt like this?
context: I don't think so!\I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?!\Are you okay?\Yes, I'm okay.\What's wrong?\Why does it hurt like this? response:	Didn't I just jam it?
context: I am put out to sea is to ask the fishermen\Is she hurt?\Chihaya, too?!\Are you okay?\Yes, I'm okay.\What's wrong?\Why does it hurt like this?\Didn't I just jam it? response:	What is this?
context: Is she hurt?\Chihaya, too?!\Are you okay?\Yes, I'm okay.\What's wrong?\Why does it hurt like this?\Didn't I just jam it?\What is this? response:	What's wrong?
context: Chihaya, too?!\Are you okay?\Yes, I'm okay.\What's wrong?\Why does it hurt like this?\Didn't I just jam it?\What is this?\What's wrong? response:	Ayase...
context: Are you okay?\Yes, I'm okay.\What's wrong?\Why does it hurt like this?\Didn't I just jam it?\What is this?\What's wrong?\Ayase... response:	Ayase, you can't hide it from me.
context: Yes, I'm okay.\What's wrong?\Why does it hurt like this?\Didn't I just jam it?\What is this?\What's wrong?\Ayase...\Ayase, you can't hide it from me. response:	I'm right next to you.
context: What's wrong?\Why does it hurt like this?\Didn't I just jam it?\What is this?\What's wrong?\Ayase...\Ayase, you can't hide it from me.\I'm right next to you. response:	Two girls have gotten injured playing their hearts out.
context: Why does it hurt like this?\Didn't I just jam it?\What is this?\What's wrong?\Ayase...\Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out. response:	I keep losing when it counts,
context: Didn't I just jam it?\What is this?\What's wrong?\Ayase...\Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts, response:	and I'm behind Mr. Excavator right now.
context: What is this?\What's wrong?\Ayase...\Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now. response:	When am I going to come through?!
context: What's wrong?\Ayase...\Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?! response:	It has to be now!
context: Ayase...\Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now! response:	Excuse me.
context: Ayase, you can't hide it from me.\I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now!\Excuse me. response:	The passion...
context: I'm right next to you.\Two girls have gotten injured playing their hearts out.\I keep losing when it counts,\and I'm behind Mr. Excavator right now.\When am I going to come through?!\It has to be now!\Excuse me.\The passion... response:	The passion always comes from Chihaya,
