context: It's summer break! response:	We'll spend every day at Maid Latte.
context: It's summer break!\We'll spend every day at Maid Latte. response:	We'll go to Maid Latte as long as our money lasts.
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts. response:	Our burning soul, hotter than the summer itself, will make this season an unforgettable one!
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one! response:	What?
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What? response:	Misa-chan!!
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!! response:	It's so hot. I can't go on anymore.
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!!\It's so hot. I can't go on anymore. response:	We're almost there, so chin up, Honoka-chan.
context: It's summer break!\We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan. response:	I shouldn't have taken part in the staff trip.
context: We'll spend every day at Maid Latte.\We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip. response:	Don't say that. It's the chief's sister's invitation.
context: We'll go to Maid Latte as long as our money lasts.\Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation. response:	That's right. Stop complaining.
context: Our burning soul, hotter than the summer itself, will make this season an unforgettable one!\What?\Misa-chan!!\It's so hot. I can't go on anymore.\We're almost there, so chin up, Honoka-chan.\I shouldn't have taken part in the staff trip.\Don't say that. It's the chief's sister's invitation.\That's right. Stop complaining. response:	Hey, where's Misa-chan?
