context: What is the Ideal? response:	What is the Ideal?
context: What is the Ideal?\What is the Ideal? response:	There are any number of answers to that question.
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question. response:	It is words,
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question.\It is words, response:	it is thought.
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question.\It is words,\it is thought. response:	It is the font of all meaning.
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question.\It is words,\it is thought.\It is the font of all meaning. response:	But if you were to ask me,
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question.\It is words,\it is thought.\It is the font of all meaning.\But if you were to ask me, response:	the answer to the question is clear.
context: What is the Ideal?\What is the Ideal?\There are any number of answers to that question.\It is words,\it is thought.\It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear. response:	Ideal
context: What is the Ideal?\There are any number of answers to that question.\It is words,\it is thought.\It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear.\Ideal response:	It is the word written on my notebook's cover.
context: There are any number of answers to that question.\It is words,\it is thought.\It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear.\Ideal\It is the word written on my notebook's cover. response:	The Ideal...
context: It is words,\it is thought.\It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear.\Ideal\It is the word written on my notebook's cover.\The Ideal... response:	Everything about me is written in this notebook.
context: it is thought.\It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear.\Ideal\It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook. response:	Ideal
context: It is the font of all meaning.\But if you were to ask me,\the answer to the question is clear.\Ideal\It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook.\Ideal response:	My schedule, my plans, my goals...
context: But if you were to ask me,\the answer to the question is clear.\Ideal\It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals... response:	This notebook contains the entirety of my future.
context: the answer to the question is clear.\Ideal\It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future. response:	I arrived a whole ten seconds early.
context: Ideal\It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early. response:	My name is Kunikida Doppo.
context: It is the word written on my notebook's cover.\The Ideal...\Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo. response:	I am an idealist walking the earth,
context: The Ideal...\Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth, response:	and a pragmatist in pursuit of ideals.
context: Everything about me is written in this notebook.\Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals. response:	It's time.
context: Ideal\My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time. response:	Good morning.
context: My schedule, my plans, my goals...\This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time.\Good morning. response:	Kunikida-san, please help us!
context: This notebook contains the entirety of my future.\I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time.\Good morning.\Kunikida-san, please help us! response:	What's going on so early in the day?
context: I arrived a whole ten seconds early.\My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time.\Good morning.\Kunikida-san, please help us!\What's going on so early in the day? response:	J-J-Just look at Dazai-san!
context: My name is Kunikida Doppo.\I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time.\Good morning.\Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san! response:	Oh!
context: I am an idealist walking the earth,\and a pragmatist in pursuit of ideals.\It's time.\Good morning.\Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh! response:	Kunikida-kun, it's an emergency!
context: and a pragmatist in pursuit of ideals.\It's time.\Good morning.\Kunikida-san, please help us!\What's going on so early in the day?\J-J-Just look at Dazai-san!\Oh!\Kunikida-kun, it's an emergency! response:	Just look!
