context: -So, do your time-leap, and change this world for us! -Big Brother Yu! response:	-Is this world really going to change? -Just make sure to time it right.
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right. response:	This is the only timing that the little brother will get serious.
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious. response:	-Take my power of permeation! -Can you hear me?
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me? response:	It's been a while, Yu.
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu. response:	I'm leaving you to do the rest, Big Brother.
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother. response:	Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke. response:	Oh, sorry...
context: -So, do your time-leap, and change this world for us! -Big Brother Yu!\-Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry... response:	Geez, you shouldn't break rules.
context: -Is this world really going to change? -Just make sure to time it right.\This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules. response:	Tomorrow, you have to make breakfast, Big Brother.
context: This is the only timing that the little brother will get serious.\-Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother. response:	Episode 10 - Looting
context: -Take my power of permeation! -Can you hear me?\It's been a while, Yu.\I'm leaving you to do the rest, Big Brother.\Hey, breakfast today was supposed to be your turn, Big Brother Shunsuke.\Oh, sorry...\Geez, you shouldn't break rules.\Tomorrow, you have to make breakfast, Big Brother.\Episode 10 - Looting response:	Time to eat!
