context: Up until now, I've insisted on using One For All. response:	I should've turned the switch on throughout from the beginning!
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning! response:	Imagining the heat that used to only be in one place...
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place... response:	Wanna give it a try?
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try? response:	Yes.
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes. response:	Please!
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes.\Please! response:	Izuku Midoriya - Quirk: One For All
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes.\Please!\Izuku Midoriya - Quirk: One For All response:	To keep One For All going throughout your whole body.
context: Up until now, I've insisted on using One For All.\I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes.\Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body. response:	If you can move while maintaining that,
context: I should've turned the switch on throughout from the beginning!\Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes.\Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that, response:	Pro Hero - Gran Torino - Quirk: Jet
context: Imagining the heat that used to only be in one place...\Wanna give it a try?\Yes.\Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet response:	then you'll be completely different from how you were at the sports festival.
context: Wanna give it a try?\Yes.\Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival. response:	Now, what will you do?
context: Yes.\Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do? response:	We'll start with three minutes.
context: Please!\Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes. response:	Three... minutes...?
context: Izuku Midoriya - Quirk: One For All\To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes.\Three... minutes...? response:	Try getting a hit on me in that time!
context: To keep One For All going throughout your whole body.\If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time! response:	Crap, he dodged!
context: If you can move while maintaining that,\Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged! response:	Pathetic.
context: Pro Hero - Gran Torino - Quirk: Jet\then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged!\Pathetic. response:	If you can't even react to this,
context: then you'll be completely different from how you were at the sports festival.\Now, what will you do?\We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged!\Pathetic.\If you can't even react to this, response:	then you won't be able to save those that could be saved.
context: Now, what will you do?\We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged!\Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved. response:	Someone extolled as the Symbol of Peace
context: We'll start with three minutes.\Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged!\Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace response:	would be able to get over this wall in a jiffy!
context: Three... minutes...?\Try getting a hit on me in that time!\Crap, he dodged!\Pathetic.\If you can't even react to this,\then you won't be able to save those that could be saved.\Someone extolled as the Symbol of Peace\would be able to get over this wall in a jiffy! response:	One For A-
