context: I can't afford to let it all end here. response:	What... am I even doing here?
context: I can't afford to let it all end here.\What... am I even doing here? response:	Tell me, oh tell me, the way it works
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works response:	Who is that inside of me?
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me? response:	Here in this broken-down, broken-down world,
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world, response:	you laugh, without seeing a thing
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing response:	I'm just so damaged, I hold my breath and freeze
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze response:	Breakable, unbreakable; shakable, unshakable
context: I can't afford to let it all end here.\What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable response:	When I found you, it shook me.
context: What... am I even doing here?\Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me. response:	In this twisted world, I'm gradually growing transparent and vanishing
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	I'm against this! He doesn't have any desire to help Kaneki!
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki! response:	With him along, it increases our chances of rescuing Kaneki.
context: When I found you, it shook me.\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki. response:	It's more encouraging having him as an ally.
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally. response:	Why are you even still alive?
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive? response:	Eat yourself. I followed the advice you gave me.
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me. response:	As a result, look, you see?
context: of someone else's imagining\Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see? response:	And in what came as an unexpected surprise, I taste pretty good.
context: Remember who I am\I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good. response:	In any event, I'm against it! He's planning to eat Kaneki!
context: I'm against this! He doesn't have any desire to help Kaneki!\With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki! response:	You need not worry about that.
context: With him along, it increases our chances of rescuing Kaneki.\It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that. response:	I'll look after him. I won't let him pull anything.
context: It's more encouraging having him as an ally.\Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything. response:	Yomo, any movement from CCG?
context: Why are you even still alive?\Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG? response:	Once the civilians are evacuated,
context: Eat yourself. I followed the advice you gave me.\As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated, response:	they appear ready to mount an attack.
context: As a result, look, you see?\And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack. response:	Anteiku will rescue Kaneki under the cover of CCG's all-out attack.
context: And in what came as an unexpected surprise, I taste pretty good.\In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack. response:	Any objections?
context: In any event, I'm against it! He's planning to eat Kaneki!\You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections? response:	Kaneki...
context: You need not worry about that.\I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki... response:	You... awake?
context: I'll look after him. I won't let him pull anything.\Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki...\You... awake? response:	This is my room. Isn't it nice?
context: Yomo, any movement from CCG?\Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki...\You... awake?\This is my room. Isn't it nice? response:	Mr. Tatara said he doesn't need you...
context: Once the civilians are evacuated,\they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki...\You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you... response:	so I ended up claiming you.
context: they appear ready to mount an attack.\Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki...\You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you. response:	I'm glad.
context: Anteiku will rescue Kaneki under the cover of CCG's all-out attack.\Any objections?\Kaneki...\You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad. response:	I've wanted to invite you over...
context: Any objections?\Kaneki...\You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad.\I've wanted to invite you over... response:	from the moment we met.
context: Kaneki...\You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad.\I've wanted to invite you over...\from the moment we met. response:	No...
context: You... awake?\This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad.\I've wanted to invite you over...\from the moment we met.\No... response:	Since even before we met, maybe. So please,
context: This is my room. Isn't it nice?\Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad.\I've wanted to invite you over...\from the moment we met.\No...\Since even before we met, maybe. So please, response:	do not disappoint me.
context: Mr. Tatara said he doesn't need you...\so I ended up claiming you.\I'm glad.\I've wanted to invite you over...\from the moment we met.\No...\Since even before we met, maybe. So please,\do not disappoint me. response:	RC inhibition fluid...
context: so I ended up claiming you.\I'm glad.\I've wanted to invite you over...\from the moment we met.\No...\Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid... response:	When this enters a ghoul's body,
context: I'm glad.\I've wanted to invite you over...\from the moment we met.\No...\Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body, response:	their kagune activity is suppressed.
context: I've wanted to invite you over...\from the moment we met.\No...\Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed. response:	Once that happens, their body becomes non-resistant,
context: from the moment we met.\No...\Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant, response:	and my scalpel can slice right through.
context: No...\Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through. response:	Just... like a human.
context: Since even before we met, maybe. So please,\do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human. response:	Hypodermic needles... don't work on ghoul bodies.
context: do not disappoint me.\RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies. response:	But there is one place where the needle will pass through.
context: RC inhibition fluid...\When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through. response:	And that... is the mucosa!
context: When this enters a ghoul's body,\their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa! response:	It has been two months since the shopping mall was occupied.
context: their kagune activity is suppressed.\Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied. response:	There are five hundred ghouls inside, as far as we can identify.
context: Once that happens, their body becomes non-resistant,\and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify. response:	They have increased their forces substantially in the last week.
context: and my scalpel can slice right through.\Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week. response:	-Here, at the main entrance... -Mr. Mado...
context: Just... like a human.\Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado... response:	Here.
context: Hypodermic needles... don't work on ghoul bodies.\But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here. response:	What is this?
context: But there is one place where the needle will pass through.\And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here.\What is this? response:	Mado asked me.
context: And that... is the mucosa!\It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here.\What is this?\Mado asked me. response:	He said you were to use it.
context: It has been two months since the shopping mall was occupied.\There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here.\What is this?\Mado asked me.\He said you were to use it. response:	-Take it. -Once the first mission starts rendezvous with Team A.
context: There are five hundred ghouls inside, as far as we can identify.\They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here.\What is this?\Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A. response:	-Teams B and C will proceed as scheduled to the annex.
context: They have increased their forces substantially in the last week.\-Here, at the main entrance... -Mr. Mado...\Here.\What is this?\Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex. response:	-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.
context: -Here, at the main entrance... -Mr. Mado...\Here.\What is this?\Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex. response:	Move in at your own discretion once you verify the conditions on the ground.
context: Here.\What is this?\Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground. response:	Civilian evacuation has been completed.
context: What is this?\Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed. response:	Let's go, men!
context: Mado asked me.\He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men! response:	Yes, sir!
context: He said you were to use it.\-Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men!\Yes, sir! response:	CCG and the police are waiting to charge into the 11th Ward
context: -Take it. -Once the first mission starts rendezvous with Team A.\-Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward response:	with a joint force of over a thousand men.
context: -Teams B and C will proceed as scheduled to the annex.\-I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men. response:	The leader on the scene is Special Investigator Marude Itsuki,
context: -I will cherish using it. -Teams B and C will proceed as scheduled to the annex.\Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki, response:	the man who pinpointed the location of the ghouls' base.
context: Move in at your own discretion once you verify the conditions on the ground.\Civilian evacuation has been completed.\Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base. response:	Breaking News
context: Civilian evacuation has been completed.\Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News response:	We will stake our lives to protect the citizen population's safety
context: Let's go, men!\Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety response:	up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.
context: Yes, sir!\CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation. response:	Let us all work together, to take back the peace in the 11th Ward!
context: CCG and the police are waiting to charge into the 11th Ward\with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward! response:	That was Special Investigator Marude.
context: with a joint force of over a thousand men.\The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude. response:	-Kaneki... -Now, back to the studio.
context: The leader on the scene is Special Investigator Marude Itsuki,\the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio. response:	How many was that, again?
context: the man who pinpointed the location of the ghouls' base.\Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again? response:	Five hundred and fifty-nine...
context: Breaking News\We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine... response:	-I'll be back after you recover. -Five hundred and fifty-two...
context: We will stake our lives to protect the citizen population's safety\up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two... response:	-Five hundred and fourty-five...
context: up to ninety-nine percent. The last one percent will come from everyone's joint cooperation.\Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five... response:	-Clean that up. -Five hundred and fourty-five...
context: Let us all work together, to take back the peace in the 11th Ward!\That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five... response:	-Yes, sir. -Five hundred and fourty-five...
context: That was Special Investigator Marude.\-Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five... response:	Kaneki...
context: -Kaneki... -Now, back to the studio.\How many was that, again?\Five hundred and fifty-nine...\-I'll be back after you recover. -Five hundred and fifty-two...\-Five hundred and fourty-five...\-Clean that up. -Five hundred and fourty-five...\-Yes, sir. -Five hundred and fourty-five...\Kaneki... response:	Mr. Banjo?
