context: Kyouma, response:	I want...
context: Kyouma,\I want... response:	You want me to be the messiah?
context: Kyouma,\I want...\You want me to be the messiah? response:	Ridiculous.
context: Kyouma,\I want...\You want me to be the messiah?\Ridiculous. response:	I am a mad scientist...
context: Kyouma,\I want...\You want me to be the messiah?\Ridiculous.\I am a mad scientist... response:	I desire chaos and destruction!
context: Kyouma,\I want...\You want me to be the messiah?\Ridiculous.\I am a mad scientist...\I desire chaos and destruction! response:	What happened to him?
context: Kyouma,\I want...\You want me to be the messiah?\Ridiculous.\I am a mad scientist...\I desire chaos and destruction!\What happened to him? response:	We will now restart Operation Urd.
context: Kyouma,\I want...\You want me to be the messiah?\Ridiculous.\I am a mad scientist...\I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd. response:	Mister Braun's still downstairs, man.
context: I want...\You want me to be the messiah?\Ridiculous.\I am a mad scientist...\I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man. response:	I don't care!
context: You want me to be the messiah?\Ridiculous.\I am a mad scientist...\I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care! response:	Wait!
context: Ridiculous.\I am a mad scientist...\I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care!\Wait! response:	I told you.
context: I am a mad scientist...\I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care!\Wait!\I told you. response:	I'm against this.
context: I desire chaos and destruction!\What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care!\Wait!\I told you.\I'm against this. response:	Against it?
context: What happened to him?\We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care!\Wait!\I told you.\I'm against this.\Against it? response:	This morning, you were helping me.
context: We will now restart Operation Urd.\Mister Braun's still downstairs, man.\I don't care!\Wait!\I told you.\I'm against this.\Against it?\This morning, you were helping me. response:	This morning?
context: Mister Braun's still downstairs, man.\I don't care!\Wait!\I told you.\I'm against this.\Against it?\This morning, you were helping me.\This morning? response:	Then... I knew it.
context: I don't care!\Wait!\I told you.\I'm against this.\Against it?\This morning, you were helping me.\This morning?\Then... I knew it. response:	Yes.
context: Wait!\I told you.\I'm against this.\Against it?\This morning, you were helping me.\This morning?\Then... I knew it.\Yes. response:	The experiment took place.
context: I told you.\I'm against this.\Against it?\This morning, you were helping me.\This morning?\Then... I knew it.\Yes.\The experiment took place. response:	The D-mail has already changed the past.
context: I'm against this.\Against it?\This morning, you were helping me.\This morning?\Then... I knew it.\Yes.\The experiment took place.\The D-mail has already changed the past. response:	Seriously?
context: Against it?\This morning, you were helping me.\This morning?\Then... I knew it.\Yes.\The experiment took place.\The D-mail has already changed the past.\Seriously? response:	The world line changed?
context: This morning, you were helping me.\This morning?\Then... I knew it.\Yes.\The experiment took place.\The D-mail has already changed the past.\Seriously?\The world line changed? response:	Yes, I think so.
context: This morning?\Then... I knew it.\Yes.\The experiment took place.\The D-mail has already changed the past.\Seriously?\The world line changed?\Yes, I think so. response:	Thus, you've lost some
context: Then... I knew it.\Yes.\The experiment took place.\The D-mail has already changed the past.\Seriously?\The world line changed?\Yes, I think so.\Thus, you've lost some response:	of your memories from before the change.
