context: Legend of the Big Fish response:	This is my fault. This is my fault.
context: Legend of the Big Fish\This is my fault. This is my fault. response:	What should I do? What should I do?
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do? response:	Ayumi-chan!
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan! response:	You can't be serious.
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan!\You can't be serious. response:	Captain!
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan!\You can't be serious.\Captain! response:	Ayumi-chan!
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan!\You can't be serious.\Captain!\Ayumi-chan! response:	Boss!
context: Legend of the Big Fish\This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan!\You can't be serious.\Captain!\Ayumi-chan!\Boss! response:	Captain?
context: This is my fault. This is my fault.\What should I do? What should I do?\Ayumi-chan!\You can't be serious.\Captain!\Ayumi-chan!\Boss!\Captain? response:	Ayumi-chan, you're all right.
context: What should I do? What should I do?\Ayumi-chan!\You can't be serious.\Captain!\Ayumi-chan!\Boss!\Captain?\Ayumi-chan, you're all right. response:	Huh? Misaki-san?
context: Ayumi-chan!\You can't be serious.\Captain!\Ayumi-chan!\Boss!\Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san? response:	I'm so relieved.
context: You can't be serious.\Captain!\Ayumi-chan!\Boss!\Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved. response:	All right!
context: Captain!\Ayumi-chan!\Boss!\Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved.\All right! response:	Captain!
context: Ayumi-chan!\Boss!\Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved.\All right!\Captain! response:	Oh, Yuki. You came back.
context: Boss!\Captain?\Ayumi-chan, you're all right.\Huh? Misaki-san?\I'm so relieved.\All right!\Captain!\Oh, Yuki. You came back. response:	You protected this.
