context: And we broke response:	Everything that was right
context: And we broke\Everything that was right response:	We both enjoyed a good fight
context: And we broke\Everything that was right\We both enjoyed a good fight response:	And we sewed
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed response:	All the holes we had to breathe
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe response:	To make the other one leave
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave response:	And I loved
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved response:	The way you looked at me
context: And we broke\Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me response:	And I miss
context: Everything that was right\We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss response:	The way you made me feel
context: We both enjoyed a good fight\And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel response:	When we were alone
context: And we sewed\All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone response:	When we were alone
context: All the holes we had to breathe\To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone response:	And I'll shiver like I used to
context: To make the other one leave\And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to response:	And I'll leave him just for you
context: And I loved\The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you response:	And I'll shiver like I used to
context: The way you looked at me\And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to response:	Mushi-Shi
context: And I miss\The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi response:	Mushi-Shi
context: The way you made me feel\When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi response:	Just for you
context: When we were alone\When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you response:	Like I used to
context: When we were alone\And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to response:	They seem strange and alien.
context: And I'll shiver like I used to\And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien. response:	Primitive and peculiar,
context: And I'll leave him just for you\And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar, response:	they are unlike any flora or fauna known to us.
context: And I'll shiver like I used to\Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us. response:	Since time immemorial,
context: Mushi-Shi\Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial, response:	men have feared these misshapen entities,
context: Mushi-Shi\Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities, response:	which came to be known as mushi.
context: Just for you\Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi. response:	Hey, Toki?
context: Like I used to\They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki? response:	Hmm?
context: They seem strange and alien.\Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki?\Hmm? response:	When snow falls into the lake, what happens to it?
context: Primitive and peculiar,\they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it? response:	It melts and becomes part of the lake water.
context: they are unlike any flora or fauna known to us.\Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water. response:	Really?
context: Since time immemorial,\men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really? response:	Well then, why doesn't it just fall on the ground?
context: men have feared these misshapen entities,\which came to be known as mushi.\Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground? response:	Snow doesn't have a choice where it falls.
context: which came to be known as mushi.\Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls. response:	Oh... poor snow.
context: Hey, Toki?\Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow. response:	Well, once the lake freezes, the snow can pile up on top of its ice.
context: Hmm?\When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice. response:	Really?
context: When snow falls into the lake, what happens to it?\It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really? response:	When will that be?
context: It melts and becomes part of the lake water.\Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be? response:	As soon as it gets a bit colder.
context: Really?\Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be?\As soon as it gets a bit colder. response:	I see!
context: Well then, why doesn't it just fall on the ground?\Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be?\As soon as it gets a bit colder.\I see! response:	I really hope the lake freezes soon!
context: Snow doesn't have a choice where it falls.\Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be?\As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon! response:	Beneath the Snow
context: Oh... poor snow.\Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be?\As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon!\Beneath the Snow response:	There should be... an inn somewhere around here.
context: Well, once the lake freezes, the snow can pile up on top of its ice.\Really?\When will that be?\As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here. response:	It's buried in snow.
context: Really?\When will that be?\As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow. response:	Must be abandoned.
context: When will that be?\As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned. response:	Hm... Maybe it's this way?
context: As soon as it gets a bit colder.\I see!\I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way? response:	Here you go.
context: I see!\I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way?\Here you go. response:	Thanks. I needed this.
context: I really hope the lake freezes soon!\Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way?\Here you go.\Thanks. I needed this. response:	I'm chilled to the bone.
context: Beneath the Snow\There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way?\Here you go.\Thanks. I needed this.\I'm chilled to the bone. response:	No, I should be thanking you.
context: There should be... an inn somewhere around here.\It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way?\Here you go.\Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you. response:	We never have guests at this time of the year!
context: It's buried in snow.\Must be abandoned.\Hm... Maybe it's this way?\Here you go.\Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year! response:	Well, I suppose the only people who'd venture through this much snow
context: Must be abandoned.\Hm... Maybe it's this way?\Here you go.\Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow response:	are the really curious ones.
context: Hm... Maybe it's this way?\Here you go.\Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones. response:	Is that so? Well then, what has you so curious?
context: Here you go.\Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious? response:	It's the snow itself. It's very interesting around here.
context: Thanks. I needed this.\I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious?\It's the snow itself. It's very interesting around here. response:	I wanted to come see it for myself.
context: I'm chilled to the bone.\No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious?\It's the snow itself. It's very interesting around here.\I wanted to come see it for myself. response:	Oh, really?
context: No, I should be thanking you.\We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious?\It's the snow itself. It's very interesting around here.\I wanted to come see it for myself.\Oh, really? response:	I mean, it's true we get a lot of snow in these parts.
context: We never have guests at this time of the year!\Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious?\It's the snow itself. It's very interesting around here.\I wanted to come see it for myself.\Oh, really?\I mean, it's true we get a lot of snow in these parts. response:	But that's just typical for us.
context: Well, I suppose the only people who'd venture through this much snow\are the really curious ones.\Is that so? Well then, what has you so curious?\It's the snow itself. It's very interesting around here.\I wanted to come see it for myself.\Oh, really?\I mean, it's true we get a lot of snow in these parts.\But that's just typical for us. response:	I don't think it's all that interesting.
