context: My lady! response:	So what is the real reason the suspect threw the corpse into this swamp?
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp? response:	It was so the suspect, Tanio Aoi,
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi, response:	could have the police find something that she was looking for.
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for. response:	She had previously tossed something away in this swamp,
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp, response:	and after murdering Yoshihara Hiroo,
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo, response:	she figured she should retrieve it.
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it. response:	But it was quite impossible for her to find
context: My lady!\So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find response:	what she had thrown into this swamp all on her own.
context: So what is the real reason the suspect threw the corpse into this swamp?\It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own. response:	That's why she decided to get the police to help.
context: It was so the suspect, Tanio Aoi,\could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help. response:	If she told them she had dumped the murder weapon here,
context: could have the police find something that she was looking for.\She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here, response:	there's a good chance the police would've searched the swamp.
context: She had previously tossed something away in this swamp,\and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp. response:	Then what about the thing she whispered?
context: and after murdering Yoshihara Hiroo,\she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered? response:	It wasn't a dead body she wanted them to find.
context: she figured she should retrieve it.\But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find. response:	It was something she had tossed into the swamp before.
context: But it was quite impossible for her to find\what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before. response:	Though she tossed it in quite a while ago,
context: what she had thrown into this swamp all on her own.\That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago, response:	so there was no guarantee that it'd be found.
context: That's why she decided to get the police to help.\If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found. response:	That's why she couldn't stop herself from whispering a prayer.
context: If she told them she had dumped the murder weapon here,\there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer. response:	I really hope they find you.
context: there's a good chance the police would've searched the swamp.\Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you. response:	That was the whisper that you heard.
context: Then what about the thing she whispered?\It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard. response:	Then she didn't need to go through the trouble
context: It wasn't a dead body she wanted them to find.\It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble response:	of bringing the corpse here.
context: It was something she had tossed into the swamp before.\Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here. response:	She could have just said the murder weapon was here.
context: Though she tossed it in quite a while ago,\so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here. response:	But that brings up some inconsistencies.
context: so there was no guarantee that it'd be found.\That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies. response:	To carry out her plan, Tanio Aoi needed the police
context: That's why she couldn't stop herself from whispering a prayer.\I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police response:	to find out about the incident,
context: I really hope they find you.\That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident, response:	believe that she was the culprit and arrest her,
context: That was the whisper that you heard.\Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her, response:	and hear her confess that she threw the murder weapon into the swamp.
context: Then she didn't need to go through the trouble\of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her,\and hear her confess that she threw the murder weapon into the swamp. response:	So first, how would she get the police to find out about the incident?
context: of bringing the corpse here.\She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her,\and hear her confess that she threw the murder weapon into the swamp.\So first, how would she get the police to find out about the incident? response:	They'd have to find the body.
context: She could have just said the murder weapon was here.\But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her,\and hear her confess that she threw the murder weapon into the swamp.\So first, how would she get the police to find out about the incident?\They'd have to find the body. response:	Precisely, Kuro-san!
context: But that brings up some inconsistencies.\To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her,\and hear her confess that she threw the murder weapon into the swamp.\So first, how would she get the police to find out about the incident?\They'd have to find the body.\Precisely, Kuro-san! response:	And how would she go about doing that?
context: To carry out her plan, Tanio Aoi needed the police\to find out about the incident,\believe that she was the culprit and arrest her,\and hear her confess that she threw the murder weapon into the swamp.\So first, how would she get the police to find out about the incident?\They'd have to find the body.\Precisely, Kuro-san!\And how would she go about doing that? response:	Well...
