context: Sakaguchi Ango response:	Sakaguchi Ango.
context: Sakaguchi Ango\Sakaguchi Ango. response:	A Mysterious Intellectual...
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual... response:	A mysterious intellectual...
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual... response:	And...
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual...\And... response:	No One Knew Who You Really Were
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual...\And...\No One Knew Who You Really Were response:	No one knew who you really were.
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual...\And...\No One Knew Who You Really Were\No one knew who you really were. response:	Western-style Food and Curry Freedom
context: Sakaguchi Ango\Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual...\And...\No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom response:	Freedom
context: Sakaguchi Ango.\A Mysterious Intellectual...\A mysterious intellectual...\And...\No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom\Freedom response:	How's the curry taste?
context: A Mysterious Intellectual...\A mysterious intellectual...\And...\No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom\Freedom\How's the curry taste? response:	The same as usual.
context: A mysterious intellectual...\And...\No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom\Freedom\How's the curry taste?\The same as usual. response:	How are the kids doing?
context: And...\No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom\Freedom\How's the curry taste?\The same as usual.\How are the kids doing? response:	The same as usual.
context: No One Knew Who You Really Were\No one knew who you really were.\Western-style Food and Curry Freedom\Freedom\How's the curry taste?\The same as usual.\How are the kids doing?\The same as usual. response:	They're all upstairs, so why don't you go say hi?
context: No one knew who you really were.\Western-style Food and Curry Freedom\Freedom\How's the curry taste?\The same as usual.\How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi? response:	It's me. I'm coming in.
context: Western-style Food and Curry Freedom\Freedom\How's the curry taste?\The same as usual.\How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in. response:	How are you guys doing?
context: Freedom\How's the curry taste?\The same as usual.\How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing? response:	You're not causing the old man any trouble, are you?
context: How's the curry taste?\The same as usual.\How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you? response:	I've got you now!
context: The same as usual.\How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now! response:	Hup!
context: How are the kids doing?\The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now!\Hup! response:	How's that, Odasaku? You give up?
context: The same as usual.\They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now!\Hup!\How's that, Odasaku? You give up? response:	Apparently I'm going to have to show you just how scary the real mafia is...
context: They're all upstairs, so why don't you go say hi?\It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now!\Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is... response:	You give up?
context: It's me. I'm coming in.\How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now!\Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up? response:	Nope!
context: How are you guys doing?\You're not causing the old man any trouble, are you?\I've got you now!\Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope! response:	Then...
context: You're not causing the old man any trouble, are you?\I've got you now!\Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope!\Then... response:	Let's have some Port Mafia-style torture.
context: I've got you now!\Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope!\Then...\Let's have some Port Mafia-style torture. response:	Stop! I'll die! I'll die!
context: Hup!\How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope!\Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die! response:	No! Stop! Seriously, stop! Stop!
context: How's that, Odasaku? You give up?\Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope!\Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop! response:	I'll definitely get you next time.
context: Apparently I'm going to have to show you just how scary the real mafia is...\You give up?\Nope!\Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time. response:	I'll look forward to it.
context: You give up?\Nope!\Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it. response:	Hot! This is too hot.
context: Nope!\Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot. response:	Did you add lava as the secret ingredient or something?
context: Then...\Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something? response:	Odasaku-chan eats that all the time.
context: Let's have some Port Mafia-style torture.\Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time. response:	How were the kids?
context: Stop! I'll die! I'll die!\No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids? response:	The same as usual.
context: No! Stop! Seriously, stop! Stop!\I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids?\The same as usual. response:	Are those all the kids that lost their parents in
context: I'll definitely get you next time.\I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids?\The same as usual.\Are those all the kids that lost their parents in response:	the Ryuuzu Dispute two years ago?
context: I'll look forward to it.\Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids?\The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago? response:	You're Oda Sakunosuke.
context: Hot! This is too hot.\Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids?\The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke. response:	A member of the mafia who never kills,
context: Did you add lava as the secret ingredient or something?\Odasaku-chan eats that all the time.\How were the kids?\The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills, response:	you have no interest in moving up,
context: Odasaku-chan eats that all the time.\How were the kids?\The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up, response:	and you take care of orphans.
context: How were the kids?\The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans. response:	You sure are strange.
context: The same as usual.\Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans.\You sure are strange. response:	You're the strangest person in the Port Mafia.
context: Are those all the kids that lost their parents in\the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia. response:	Not as strange as you.
context: the Ryuuzu Dispute two years ago?\You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you. response:	Here are the living expenses for those kids for the time being.
context: You're Oda Sakunosuke.\A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being. response:	Are you sure? I don't mind pitching in...
context: A member of the mafia who never kills,\you have no interest in moving up,\and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in... response:	I'm already grateful that you're giving them a place to stay.
context: you have no interest in moving up,\and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay. response:	And as long as I get to eat the curry here whenever I want,
context: and you take care of orphans.\You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want, response:	Hot... So hot...
context: You sure are strange.\You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot... response:	I don't need anything else.
context: You're the strangest person in the Port Mafia.\Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else. response:	And you came here today concerning that thing, right?
context: Not as strange as you.\Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right? response:	Yes...
context: Here are the living expenses for those kids for the time being.\Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right?\Yes... response:	I've come to the conclusion
context: Are you sure? I don't mind pitching in...\I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right?\Yes...\I've come to the conclusion response:	that they are an organization of gifted members from overseas.
context: I'm already grateful that you're giving them a place to stay.\And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right?\Yes...\I've come to the conclusion\that they are an organization of gifted members from overseas. response:	They were being chased by a gifted agency from England
context: And as long as I get to eat the curry here whenever I want,\Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right?\Yes...\I've come to the conclusion\that they are an organization of gifted members from overseas.\They were being chased by a gifted agency from England response:	called the Order of the Clock Tower,
context: Hot... So hot...\I don't need anything else.\And you came here today concerning that thing, right?\Yes...\I've come to the conclusion\that they are an organization of gifted members from overseas.\They were being chased by a gifted agency from England\called the Order of the Clock Tower, response:	and came scurrying from Europe to Japan...
context: I don't need anything else.\And you came here today concerning that thing, right?\Yes...\I've come to the conclusion\that they are an organization of gifted members from overseas.\They were being chased by a gifted agency from England\called the Order of the Clock Tower,\and came scurrying from Europe to Japan... response:	And what did those guys come all the way to Japan for?
context: And you came here today concerning that thing, right?\Yes...\I've come to the conclusion\that they are an organization of gifted members from overseas.\They were being chased by a gifted agency from England\called the Order of the Clock Tower,\and came scurrying from Europe to Japan...\And what did those guys come all the way to Japan for? response:	They escaped to a foreign land...
