context: When I was a child, I dreamed of being a hero of justice. response:	What do you mean, dreamed? Did you give up?
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up? response:	Yes, unfortunately...
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately... response:	Being a hero is a limited-time thing.
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing. response:	And when you grow up, it's difficult to call yourself one.
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one. response:	I wish it hadn't taken me so long to realize that.
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that. response:	I see.
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see. response:	Guess you can't help it now, then.
context: When I was a child, I dreamed of being a hero of justice.\What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then. response:	Yes...
context: What do you mean, dreamed? Did you give up?\Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then.\Yes... response:	I really can't.
context: Yes, unfortunately...\Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then.\Yes...\I really can't. response:	Yeah.
context: Being a hero is a limited-time thing.\And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then.\Yes...\I really can't.\Yeah. response:	Since you can't, I'll become one for you.
context: And when you grow up, it's difficult to call yourself one.\I wish it hadn't taken me so long to realize that.\I see.\Guess you can't help it now, then.\Yes...\I really can't.\Yeah.\Since you can't, I'll become one for you. response:	You're an adult now, so it's too late for you, but I can do it.
