context: Who' Who are you? response:	What do you mean?
context: Who' Who are you?\What do you mean? response:	I know'
context: Who' Who are you?\What do you mean?\I know' response:	the truth.
context: Who' Who are you?\What do you mean?\I know'\the truth. response:	And what will you do?
context: Who' Who are you?\What do you mean?\I know'\the truth.\And what will you do? response:	I know all about it.
context: Who' Who are you?\What do you mean?\I know'\the truth.\And what will you do?\I know all about it. response:	The other you you're not ever aware of'
context: Who' Who are you?\What do you mean?\I know'\the truth.\And what will you do?\I know all about it.\The other you you're not ever aware of' response:	Another Yukito-san'
context: Who' Who are you?\What do you mean?\I know'\the truth.\And what will you do?\I know all about it.\The other you you're not ever aware of'\Another Yukito-san' response:	You' You're really'
context: What do you mean?\I know'\the truth.\And what will you do?\I know all about it.\The other you you're not ever aware of'\Another Yukito-san'\You' You're really' response:	'not human'
context: I know'\the truth.\And what will you do?\I know all about it.\The other you you're not ever aware of'\Another Yukito-san'\You' You're really'\'not human' response:	the times I'm not aware of'
context: the truth.\And what will you do?\I know all about it.\The other you you're not ever aware of'\Another Yukito-san'\You' You're really'\'not human'\the times I'm not aware of' response:	the other me takes over.
context: And what will you do?\I know all about it.\The other you you're not ever aware of'\Another Yukito-san'\You' You're really'\'not human'\the times I'm not aware of'\the other me takes over. response:	Everything of my past memory is a lie.
context: I know all about it.\The other you you're not ever aware of'\Another Yukito-san'\You' You're really'\'not human'\the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie. response:	Not really' at least, everything you remember since we met is real.
context: The other you you're not ever aware of'\Another Yukito-san'\You' You're really'\'not human'\the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real. response:	I'm not really sure what you are.
context: Another Yukito-san'\You' You're really'\'not human'\the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are. response:	But, as long as we're together, that's fine by me.
context: You' You're really'\'not human'\the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me. response:	Thanks.
context: 'not human'\the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks. response:	Wow' that was really good'
context: the times I'm not aware of'\the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good' response:	I'm so glad I saw it.
context: the other me takes over.\Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good'\I'm so glad I saw it. response:	Kinomoto-kun was so cool.
context: Everything of my past memory is a lie.\Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool. response:	Tsukishiro-kun too!
context: Not really' at least, everything you remember since we met is real.\I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too! response:	The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?
context: I'm not really sure what you are.\But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right? response:	Really? She was so cute'
context: But, as long as we're together, that's fine by me.\Thanks.\Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute' response:	You did a wonderful job.
context: Thanks.\Wow' that was really good'\I'm so glad I saw it.\Kinomoto-kun was so cool.\Tsukishiro-kun too!\The girl who played Tsukishiro-kun's sister' she's really Kinomoto-kun's sister, right?\Really? She was so cute'\You did a wonderful job. response:	Th' thank you.
