context: We went on a camping trip to the sea. response:	I swam a lot and it was very fun.
context: We went on a camping trip to the sea.\I swam a lot and it was very fun. response:	At night we did kimodameshi in the cave.
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave. response:	Are you writing a diary?
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary? response:	Yeah.
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah. response:	Let me see.
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah.\Let me see. response:	So this is when you went to the sea?
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah.\Let me see.\So this is when you went to the sea? response:	I wanted to go too.
context: We went on a camping trip to the sea.\I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah.\Let me see.\So this is when you went to the sea?\I wanted to go too. response:	What is this? July,today is'
context: I swam a lot and it was very fun.\At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah.\Let me see.\So this is when you went to the sea?\I wanted to go too.\What is this? July,today is' response:	July?
context: At night we did kimodameshi in the cave.\Are you writing a diary?\Yeah.\Let me see.\So this is when you went to the sea?\I wanted to go too.\What is this? July,today is'\July? response:	Today is August, isn't it?
context: Are you writing a diary?\Yeah.\Let me see.\So this is when you went to the sea?\I wanted to go too.\What is this? July,today is'\July?\Today is August, isn't it? response:	Yeah.
context: Yeah.\Let me see.\So this is when you went to the sea?\I wanted to go too.\What is this? July,today is'\July?\Today is August, isn't it?\Yeah. response:	You are writing about previous months now?
context: Let me see.\So this is when you went to the sea?\I wanted to go too.\What is this? July,today is'\July?\Today is August, isn't it?\Yeah.\You are writing about previous months now? response:	Yeah.
context: So this is when you went to the sea?\I wanted to go too.\What is this? July,today is'\July?\Today is August, isn't it?\Yeah.\You are writing about previous months now?\Yeah. response:	Isn't a diary something that you write in every day?
