context: Beyond these doors is the chamber of the Divine Assembly, response:	Miss Human God.
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God. response:	Oh, wait. At least tell me your name.
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name. response:	And now, into the sacred chamber of the gods!
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods! response:	I wonder what's happening on this world
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world response:	I wonder what's happening on this world
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world response:	I fly through the sky into space
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space response:	I fly through the sky into space
context: Beyond these doors is the chamber of the Divine Assembly,\Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space response:	and circle the world
context: Miss Human God.\Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world response:	and circle the world
context: Oh, wait. At least tell me your name.\And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: And now, into the sacred chamber of the gods!\I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday
context: I wonder what's happening on this world\I wonder what's happening on this world\I fly through the sky into space\I fly through the sky into space\and circle the world\and circle the world\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday\Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday response:	With my periodic biorhythm
