context: Led by Carla, we tried to sneak into Edolas's castle, response:	but their Erza, Knightwalker, was waiting for us, and we were captured!
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured! response:	And wait, it doesn't look like I appear much this episode at all!
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all! response:	Ever heard of the prize for perfect attendance?
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance? response:	Somebody save us, and get us outta here!
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here! response:	You bastards!
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards! response:	Where is everyone?
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards!\Where is everyone? response:	Everyone?
context: Led by Carla, we tried to sneak into Edolas's castle,\but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards!\Where is everyone?\Everyone? response:	Lucy-san, Carla, and Happy!
context: but their Erza, Knightwalker, was waiting for us, and we were captured!\And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards!\Where is everyone?\Everyone?\Lucy-san, Carla, and Happy! response:	Lucy...
context: And wait, it doesn't look like I appear much this episode at all!\Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards!\Where is everyone?\Everyone?\Lucy-san, Carla, and Happy!\Lucy... response:	Oh, you mean that woman?
context: Ever heard of the prize for perfect attendance?\Somebody save us, and get us outta here!\You bastards!\Where is everyone?\Everyone?\Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman? response:	Sorry, but I ain't got any use for her.
context: Somebody save us, and get us outta here!\You bastards!\Where is everyone?\Everyone?\Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her. response:	Maybe she'll be, like, executed?
context: You bastards!\Where is everyone?\Everyone?\Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed? response:	Just you try hurting a hair on her head...
context: Where is everyone?\Everyone?\Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head... response:	'Cause I'll turn you all...
context: Everyone?\Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all... response:	Extalia.
context: Lucy-san, Carla, and Happy!\Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia. response:	Whoa, you're scary!
context: Lucy...\Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia.\Whoa, you're scary! response:	Is everyone from Earthland this violent?
context: Oh, you mean that woman?\Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent? response:	Why just Lucy-san?
context: Sorry, but I ain't got any use for her.\Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san? response:	What about Carla and Happy?
context: Maybe she'll be, like, executed?\Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy? response:	The Exceeds?
context: Just you try hurting a hair on her head...\'Cause I'll turn you all...\Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy?\The Exceeds? response:	That ain't Happy's name!
context: 'Cause I'll turn you all...\Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy?\The Exceeds?\That ain't Happy's name! response:	The Exceeds who have completed their duty have been sent back to their homeland.
context: Extalia.\Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy?\The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland. response:	They're probably getting their reward and having a big feast about now.
context: Whoa, you're scary!\Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy?\The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now. response:	Completed their duty?
context: Is everyone from Earthland this violent?\Why just Lucy-san?\What about Carla and Happy?\The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty? response:	Returning to Edolas is a violation of my orders.
context: Why just Lucy-san?\What about Carla and Happy?\The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders. response:	I don't believe you!
context: What about Carla and Happy?\The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you! response:	I might not know what that duty is, but Carla abandoned it!
context: The Exceeds?\That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it! response:	Oh, no...
context: That ain't Happy's name!\The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no... response:	She fulfilled it quite well.
context: The Exceeds who have completed their duty have been sent back to their homeland.\They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well. response:	What exactly was her duty?
context: They're probably getting their reward and having a big feast about now.\Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well.\What exactly was her duty? response:	You haven't figured it out yet?
context: Completed their duty?\Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet? response:	What are you doing?
context: Returning to Edolas is a violation of my orders.\I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet?\What are you doing? response:	Excellent work!
context: I don't believe you!\I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet?\What are you doing?\Excellent work! response:	Who are you?
context: I might not know what that duty is, but Carla abandoned it!\Oh, no...\She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet?\What are you doing?\Excellent work!\Who are you? response:	I am simply a journalist!
context: Oh, no...\She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet?\What are you doing?\Excellent work!\Who are you?\I am simply a journalist! response:	With such a ceremony, I was hoping perhaps to take an interview?
context: She fulfilled it quite well.\What exactly was her duty?\You haven't figured it out yet?\What are you doing?\Excellent work!\Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview? response:	I have nothing to tell you. Now, go!
context: What exactly was her duty?\You haven't figured it out yet?\What are you doing?\Excellent work!\Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go! response:	This is the northern end of the plaza...
context: You haven't figured it out yet?\What are you doing?\Excellent work!\Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza... response:	I presume there are also guards stationed at the southern end?
context: What are you doing?\Excellent work!\Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end? response:	Go!
context: Excellent work!\Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go! response:	Pardon me for disturbing your work!
context: Who are you?\I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work! response:	Damn...
context: I am simply a journalist!\With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work!\Damn... response:	If I barge in from the front, the onlookers will get wrapped up in it.
context: With such a ceremony, I was hoping perhaps to take an interview?\I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it. response:	What'll I do?
context: I have nothing to tell you. Now, go!\This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do? response:	Huh? Where am I?
context: This is the northern end of the plaza...\I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I? response:	Carla, wake up!
context: I presume there are also guards stationed at the southern end?\Go!\Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I?\Carla, wake up! response:	He-cat?
context: Go!\Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I?\Carla, wake up!\He-cat? response:	What happened to us?
context: Pardon me for disturbing your work!\Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I?\Carla, wake up!\He-cat?\What happened to us? response:	They put us to sleep.
context: Damn...\If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I?\Carla, wake up!\He-cat?\What happened to us?\They put us to sleep. response:	Then...
context: If I barge in from the front, the onlookers will get wrapped up in it.\What'll I do?\Huh? Where am I?\Carla, wake up!\He-cat?\What happened to us?\They put us to sleep.\Then... response:	Where is this place?
context: What'll I do?\Huh? Where am I?\Carla, wake up!\He-cat?\What happened to us?\They put us to sleep.\Then...\Where is this place? response:	Carla?
context: Huh? Where am I?\Carla, wake up!\He-cat?\What happened to us?\They put us to sleep.\Then...\Where is this place?\Carla? response:	My information was a trap!
context: Carla, wake up!\He-cat?\What happened to us?\They put us to sleep.\Then...\Where is this place?\Carla?\My information was a trap! response:	That's not true!
context: He-cat?\What happened to us?\They put us to sleep.\Then...\Where is this place?\Carla?\My information was a trap!\That's not true! response:	We were just found by accident!
context: What happened to us?\They put us to sleep.\Then...\Where is this place?\Carla?\My information was a trap!\That's not true!\We were just found by accident! response:	It wasn't your fault, Carla!
context: They put us to sleep.\Then...\Where is this place?\Carla?\My information was a trap!\That's not true!\We were just found by accident!\It wasn't your fault, Carla! response:	Even though I swore...
context: Then...\Where is this place?\Carla?\My information was a trap!\That's not true!\We were just found by accident!\It wasn't your fault, Carla!\Even though I swore... response:	I swore to protect Wendy...
context: Where is this place?\Carla?\My information was a trap!\That's not true!\We were just found by accident!\It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy... response:	No matter what happens, I will protect Wendy!
context: Carla?\My information was a trap!\That's not true!\We were just found by accident!\It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy! response:	I swore...
context: My information was a trap!\That's not true!\We were just found by accident!\It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore... response:	You are the ones who have completed their duty on Earthland?
context: That's not true!\We were just found by accident!\It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland? response:	Ichiya?
context: We were just found by accident!\It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland?\Ichiya? response:	You have excellent parfum.
context: It wasn't your fault, Carla!\Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum. response:	And wait, a cat?
context: Even though I swore...\I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum.\And wait, a cat? response:	Why are you so surprised?
context: I swore to protect Wendy...\No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum.\And wait, a cat?\Why are you so surprised? response:	We are all Exceeds, are we not?
context: No matter what happens, I will protect Wendy!\I swore...\You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum.\And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not? response:	Nichiya-san!
context: I swore...\You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum.\And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san! response:	They have never been to Edolas before!
context: You are the ones who have completed their duty on Earthland?\Ichiya?\You have excellent parfum.\And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before! response:	I bet this is the first time for them to see other Exceeds.
context: Ichiya?\You have excellent parfum.\And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds. response:	Oh, is that so?
context: You have excellent parfum.\And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so? response:	I am the Commander of the Royal Guard of Extalia, Nichiya!
context: And wait, a cat?\Why are you so surprised?\We are all Exceeds, are we not?\Nichiya-san!\They have never been to Edolas before!\I bet this is the first time for them to see other Exceeds.\Oh, is that so?\I am the Commander of the Royal Guard of Extalia, Nichiya! response:	I'ma Nady, Extalia's Minister of State.
