context: You got that? Let me say it again just to be sure. response:	You are to kill a hundred of this planet's people
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people response:	and pile up their bodies here by tomorrow.
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow. response:	If you do, we will let you join our group.
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group. response:	And of course,
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course, response:	if there are no bodies here, it will mean the death of your son.
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son. response:	Father!
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son.\Father! response:	T- that's gutless of you! How can you use a child like that!?
context: You got that? Let me say it again just to be sure.\You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!? response:	-Yeah! -He's right!
context: You are to kill a hundred of this planet's people\and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right! response:	For one thing, there's no way Goku could kill anyone!
context: and pile up their bodies here by tomorrow.\If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone! response:	That's fine.
context: If you do, we will let you join our group.\And of course,\if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine. response:	If you don't mind letting this one die,
context: And of course,\if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die, response:	then there's no need to have those bodies ready.
context: if there are no bodies here, it will mean the death of your son.\Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready. response:	However,
context: Father!\T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready.\However, response:	one way or another, every person on this planet is destined to die soon.
context: T- that's gutless of you! How can you use a child like that!?\-Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon. response:	Once we finish subjugating our current planet,
context: -Yeah! -He's right!\For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet, response:	we've decided that our next target will be this one!
context: For one thing, there's no way Goku could kill anyone!\That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one! response:	Y- you what?
context: That's fine.\If you don't mind letting this one die,\then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what? response:	The three of us Saiyans ought to be enough
context: If you don't mind letting this one die,\then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough response:	to wipe out the folks on this planet in only a month.
context: then there's no need to have those bodies ready.\However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month. response:	Kakarrot, if you're the one who kills a hundred people for me,
context: However,\one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me, response:	it's all the same in the end, isn't it?
context: one way or another, every person on this planet is destined to die soon.\Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it? response:	Father! Father!
context: Once we finish subjugating our current planet,\we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father! response:	You got that, Kakarrot? Any way you try to struggle out of it,
context: we've decided that our next target will be this one!\Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it, response:	the only thing for you to do is to join your brother's pals.
context: Y- you what?\The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals. response:	Give me back my child!
context: The three of us Saiyans ought to be enough\to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child! response:	I'll be expecting a good answer from you.
context: to wipe out the folks on this planet in only a month.\Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you. response:	For your sake, as well.
context: Kakarrot, if you're the one who kills a hundred people for me,\it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well. response:	You cannot consider going against me.
context: it's all the same in the end, isn't it?\Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me. response:	With your incomplete battle power,
context: Father! Father!\You got that, Kakarrot? Any way you try to struggle out of it,\the only thing for you to do is to join your brother's pals.\Give me back my child!\I'll be expecting a good answer from you.\For your sake, as well.\You cannot consider going against me.\With your incomplete battle power, response:	you can't possibly stand up to your older brother, after all!
