context: Well done, everyone. I have been expecting you. response:	Thank you very much, Freeza- sama. Please tell us what our mission is this time.
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time. response:	The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled. response:	Vegeta...
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta... response:	Hey, that's that Saiyan, right?
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right? response:	I hear he's quite the arrogant bastard, for someone who doesn't have that much power.
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power. response:	Vegeta has betrayed Freeza- sama...
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama... response:	However, for whatever reason, his battle power is starting to rise higher and higher.
context: Well done, everyone. I have been expecting you.\Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher. response:	Although, he should still be no match for you.
context: Thank you very much, Freeza- sama. Please tell us what our mission is this time.\The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you. response:	Please rough him up so as not to kill him, and bring him back here.
context: The traitor Vegeta has taken the Dragon Balls that I had gathered, and fled.\Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here. response:	I would like to force him to tell me where he has hidden the Dragon Balls.
context: Vegeta...\Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls. response:	That will be a simple task. Our Scouters are already tracking Vegeta.
context: Hey, that's that Saiyan, right?\I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta. response:	He appears to be traveling at high speed not too far from here.
context: I hear he's quite the arrogant bastard, for someone who doesn't have that much power.\Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here. response:	What is the matter?
context: Vegeta has betrayed Freeza- sama...\However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter? response:	Who might these other two who are with him be?
context: However, for whatever reason, his battle power is starting to rise higher and higher.\Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be? response:	They appear to have a fairly high battle power.
context: Although, he should still be no match for you.\Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power. response:	Two of them? Ah, those must be the two children who interfered earlier.
context: Please rough him up so as not to kill him, and bring him back here.\I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier. response:	So they have teamed up with each other, have they?
context: I would like to force him to tell me where he has hidden the Dragon Balls.\That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they? response:	What are we to do with them?
context: That will be a simple task. Our Scouters are already tracking Vegeta.\He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them? response:	You are to kill them.
context: He appears to be traveling at high speed not too far from here.\What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them. response:	-Lucky! -Hooray! Hooray!
context: What is the matter?\Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray! response:	Understood. Let us go thoroughly enjoy ourselves.
context: Who might these other two who are with him be?\They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves. response:	At the heart of it all,
context: They appear to have a fairly high battle power.\Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all, response:	you are no more than just a Saiyan monkey, kneeling under our rule.
context: Two of them? Ah, those must be the two children who interfered earlier.\So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule. response:	Don't go thinking you're on an equal level with us,
context: So they have teamed up with each other, have they?\What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us, response:	just because Freeza- sama has taken a liking to you!
context: What are we to do with them?\You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you! response:	As perfect as Freeza- sama might be in everything else,
context: You are to kill them.\-Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else, response:	there's still one thing that I can't comprehend.
context: -Lucky! -Hooray! Hooray!\Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend. response:	And that's how someone as useless as you are
context: Understood. Let us go thoroughly enjoy ourselves.\At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are response:	has been admitted into the Ginyu Special Corps.
context: At the heart of it all,\you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps. response:	What!? Try saying that again!
context: you are no more than just a Saiyan monkey, kneeling under our rule.\Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again! response:	Don't breathe next to me. It stinks so bad, I can't stand it.
context: Don't go thinking you're on an equal level with us,\just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it. response:	I'll show you whether or not I'm useless!
context: just because Freeza- sama has taken a liking to you!\As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless! response:	This is no time to be playing around...
context: As perfect as Freeza- sama might be in everything else,\there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around... response:	A very nice planet has been found. It should sell at a high price.
context: there's still one thing that I can't comprehend.\And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price. response:	Let us go see it- just the two of us.
context: And that's how someone as useless as you are\has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us. response:	As you wish.
context: has been admitted into the Ginyu Special Corps.\What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish. response:	Looks like you got away with your life. You're a lucky one, at least.
context: What!? Try saying that again!\Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least. response:	That miserable Vegeta...
context: Don't breathe next to me. It stinks so bad, I can't stand it.\I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta... response:	Oh my, what's the matter, Ghurd? Do you have to go potty?
context: I'll show you whether or not I'm useless!\This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty? response:	No, it's nothing.
context: This is no time to be playing around...\A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing. response:	Freeza- sama, the Scouters you ordered are in this case.
context: A very nice planet has been found. It should sell at a high price.\Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case. response:	Well done.
context: Let us go see it- just the two of us.\As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done. response:	Well then, we will be off.
context: As you wish.\Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off. response:	Special Corps!
context: Looks like you got away with your life. You're a lucky one, at least.\That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off.\Special Corps! response:	Ginyu! Fight!
context: That miserable Vegeta...\Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off.\Special Corps!\Ginyu! Fight! response:	They've started moving.
context: Oh my, what's the matter, Ghurd? Do you have to go potty?\No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off.\Special Corps!\Ginyu! Fight!\They've started moving. response:	T- they're fast! Hurry! They're going to overtake us!
context: No, it's nothing.\Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off.\Special Corps!\Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us! response:	These strong guys are coming at us, one after the next...
context: Freeza- sama, the Scouters you ordered are in this case.\Well done.\Well then, we will be off.\Special Corps!\Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next... response:	There's nothing we can do! Father!
context: Well done.\Well then, we will be off.\Special Corps!\Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father! response:	20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.
context: Well then, we will be off.\Special Corps!\Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek. response:	All right...
context: Special Corps!\Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right... response:	Oh yeah...
context: Ginyu! Fight!\They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah... response:	Kaio- sama didn't have to send me so many of them.
context: They've started moving.\T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them. response:	Someone even more incredible than Vegeta, huh?
context: T- they're fast! Hurry! They're going to overtake us!\These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh? response:	Stay alive, everyone.
context: These strong guys are coming at us, one after the next...\There's nothing we can do! Father!\20 minutes to arrival at Planet Namek. 20 minutes to arrival at Planet Namek.\All right...\Oh yeah...\Kaio- sama didn't have to send me so many of them.\Someone even more incredible than Vegeta, huh?\Stay alive, everyone. response:	Ten more minutes...
