context: Steel Lady Nanase Wiki response:	Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City! response:	Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase response:	A wiki site, huh?
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh? response:	Monsters of the imagination only survive through people's imaginations.
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations. response:	So long as people fantasize and desire their existence,
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence, response:	Steel Lady Nanase will remain immortal.
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal. response:	Even if we cut off her head, she'll come back over and over.
context: Steel Lady Nanase Wiki\Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over. response:	Her life comes not from within her, but from the desires of others.
context: Name: Anonymous 09/03 23:57 hhI was just attacked by Steel Lady Nanase hhin a park in East Makurazaka City!\Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over.\Her life comes not from within her, but from the desires of others. response:	Nanase Karin's vengeful spirit haunts Makurazaka City
context: Name: Anonymous 09/04 00:07 hhhJust now? You're the fifth person to say they hhhsaw and got attacked by Steel Lady Nanase\A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over.\Her life comes not from within her, but from the desires of others.\Nanase Karin's vengeful spirit haunts Makurazaka City response:	Nanase Karin's immortal because she's a ghost
context: A wiki site, huh?\Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over.\Her life comes not from within her, but from the desires of others.\Nanase Karin's vengeful spirit haunts Makurazaka City\Nanase Karin's immortal because she's a ghost response:	You're safe from her wrath if you own merch from when she was an idol
context: Monsters of the imagination only survive through people's imaginations.\So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over.\Her life comes not from within her, but from the desires of others.\Nanase Karin's vengeful spirit haunts Makurazaka City\Nanase Karin's immortal because she's a ghost\You're safe from her wrath if you own merch from when she was an idol response:	A ghost that appeared in Makurazaka City
context: So long as people fantasize and desire their existence,\Steel Lady Nanase will remain immortal.\Even if we cut off her head, she'll come back over and over.\Her life comes not from within her, but from the desires of others.\Nanase Karin's vengeful spirit haunts Makurazaka City\Nanase Karin's immortal because she's a ghost\You're safe from her wrath if you own merch from when she was an idol\A ghost that appeared in Makurazaka City response:	She's getting revenge on everyone who went after her
