context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You response:	For all the Saiyans who were killed by you...
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you... response:	I am going to beat you!
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you! response:	Such drivel.
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel. response:	It utterly sickens me how you worms can share this consciousness among yourselves.
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves. response:	A worm is a worm.
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm. response:	Your legend will not be fulfilled.
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled. response:	I don't have anything to do with this Super Saiyan stuff. Still...
context: The Curtain Rises Over the Ultimate Battle!! I Am Going to Defeat You\For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still... response:	I am going to defeat you!
context: For all the Saiyans who were killed by you...\I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you! response:	How is the situation on Namek?
context: I am going to beat you!\Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek? response:	Vegeta has died.
context: Such drivel.\It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek?\Vegeta has died. response:	W- What's that!?
context: It utterly sickens me how you worms can share this consciousness among yourselves.\A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek?\Vegeta has died.\W- What's that!? response:	Vegeta, did you say?
context: A worm is a worm.\Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek?\Vegeta has died.\W- What's that!?\Vegeta, did you say? response:	That's right. He was killed by Freeza, and easily so.
context: Your legend will not be fulfilled.\I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek?\Vegeta has died.\W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so. response:	Even though he served as Freeza hands and feet, working exactly as ordered,
context: I don't have anything to do with this Super Saiyan stuff. Still...\I am going to defeat you!\How is the situation on Namek?\Vegeta has died.\W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered, response:	in the end he was betrayed and killed by him. What a shame!
context: I am going to defeat you!\How is the situation on Namek?\Vegeta has died.\W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame! response:	It was his pride as a Saiyan, I suppose.
context: How is the situation on Namek?\Vegeta has died.\W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose. response:	So that's how terrifying a guy this Freeza is, then?
context: Vegeta has died.\W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then? response:	They touched that which must not be touched. That which must not be touched!
context: W- What's that!?\Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched! response:	Damn it all! Not even Goku is a match for a rat like that!
context: Vegeta, did you say?\That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that! response:	So, what about Goku?
context: That's right. He was killed by Freeza, and easily so.\Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku? response:	He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.
context: Even though he served as Freeza hands and feet, working exactly as ordered,\in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza. response:	Goku!
context: in the end he was betrayed and killed by him. What a shame!\It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku! response:	G- Goku...
context: It was his pride as a Saiyan, I suppose.\So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku... response:	Goku!
context: So that's how terrifying a guy this Freeza is, then?\They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku...\Goku! response:	He's got such power under wraps.
context: They touched that which must not be touched. That which must not be touched!\Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku...\Goku!\He's got such power under wraps. response:	Goku, when did you find all that power?
context: Damn it all! Not even Goku is a match for a rat like that!\So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku...\Goku!\He's got such power under wraps.\Goku, when did you find all that power? response:	I implore you, Son Goku, defeat him, and give me another chance to challenge you!
context: So, what about Goku?\He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku...\Goku!\He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you! response:	You guys, get away from this place! We're in the way here!
context: He intends to fight. It seems that, no matter what, he's determined to defeat Freeza.\Goku!\G- Goku...\Goku!\He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here! response:	Gohan! Hurry up!
context: Goku!\G- Goku...\Goku!\He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up! response:	Gohan!
context: G- Goku...\Goku!\He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan! response:	Father!
context: Goku!\He's got such power under wraps.\Goku, when did you find all that power?\I implore you, Son Goku, defeat him, and give me another chance to challenge you!\You guys, get away from this place! We're in the way here!\Gohan! Hurry up!\Gohan!\Father! response:	Father, don't die! Let Freeza have it!
