context: ep06 response:	OP
context: ep06\OP response:	OP END
context: ep06\OP\OP END response:	Sorry for the wait.
context: ep06\OP\OP END\Sorry for the wait. response:	I can only make this.
context: ep06\OP\OP END\Sorry for the wait.\I can only make this. response:	Here.
context: ep06\OP\OP END\Sorry for the wait.\I can only make this.\Here. response:	Wow, awesome! It's twice-cooked pork.
context: ep06\OP\OP END\Sorry for the wait.\I can only make this.\Here.\Wow, awesome! It's twice-cooked pork. response:	I'm really hungry, so this is perfect.
context: ep06\OP\OP END\Sorry for the wait.\I can only make this.\Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect. response:	I put something in for a hidden taste.
context: OP\OP END\Sorry for the wait.\I can only make this.\Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste. response:	I wonder if you can tell.
context: OP END\Sorry for the wait.\I can only make this.\Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell. response:	Having a hidden taste; it sounds like the real thing.
context: Sorry for the wait.\I can only make this.\Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing. response:	I'm digging in!
context: I can only make this.\Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in! response:	It only has the miso flavour, or rather...
context: Here.\Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather... response:	The hidden taste is not so hidden, or rather...
context: Wow, awesome! It's twice-cooked pork.\I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather... response:	No, instead, the more you chew it, the hidden taste gets worse, or rather...
context: I'm really hungry, so this is perfect.\I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather... response:	I'm really against this hidden taste!
context: I put something in for a hidden taste.\I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste! response:	shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!
context: I wonder if you can tell.\Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah! response:	ko nna... ko to... ha ji me te da yo
context: Having a hidden taste; it sounds like the real thing.\I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo response:	I just realised for the first time that I had fallen in love
context: I'm digging in!\It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love response:	All day long, it's only you, you, you; I just couldn't avoid it
context: It only has the miso flavour, or rather...\The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it response:	Somehow, somehow I'm different from usual when I'm with you
context: The hidden taste is not so hidden, or rather...\No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you response:	Do we converse awkwardly? mutual love?
context: No, instead, the more you chew it, the hidden taste gets worse, or rather...\I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love? response:	Nope, it's an unrequited love, whoops, we made eye contact
context: I'm really against this hidden taste!\shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact response:	Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay
context: shi kou kai wa gu cha gu cha ko n ran shaa ba dee bee doo bee, yeah!\ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay response:	My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!
context: ko nna... ko to... ha ji me te da yo\I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah! response:	This... is the... very first time for me
context: I just realised for the first time that I had fallen in love\All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me response:	Do I have a fever, I wonder?
context: All day long, it's only you, you, you; I just couldn't avoid it\Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder? response:	The awakening of love that you induced it was without pride
context: Somehow, somehow I'm different from usual when I'm with you\Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride response:	T-T-These stupid hands are shaking and from here, we'll proceed
context: Do we converse awkwardly? mutual love?\Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed response:	No no no, I've messed up my words a bit and so there's an awkward silence
context: Nope, it's an unrequited love, whoops, we made eye contact\Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence response:	About your about your feelings I really want to know, it's an u-u-un-unrequited love
context: Something's making my heart beat faster sha ba da ba de bee doo wa ba dee ay\My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love response:	First love always in the school zone
context: My train of thought derails with a *splat* *splat* shaaba deebee doobee, yeah!\This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone response:	A glittering light I will fall in love
context: This... is the... very first time for me\Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love response:	I'm flying through the sky
context: Do I have a fever, I wonder?\The awakening of love that you induced it was without pride\T-T-These stupid hands are shaking and from here, we'll proceed\No no no, I've messed up my words a bit and so there's an awkward silence\About your about your feelings I really want to know, it's an u-u-un-unrequited love\First love always in the school zone\A glittering light I will fall in love\I'm flying through the sky response:	U-U-U-U-Unrequited love!
