context: Piercing through the Macro sky, response:	A thunderbolt strikes the Earth
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth response:	To awaken us, the young mankind
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind response:	The Light struck.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck. response:	Macross! Macross!
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise response:	And fight to protect their loved ones
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones response:	Will set out on their journey As the war rages on.
context: Piercing through the Macro sky,\A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on. response:	Will you love me tomorrow?
context: A thunderbolt strikes the Earth\To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind\The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	That blue planet that shines in the distance
context: The Light struck.\Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross! response:	Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi
context: And fight to protect their loved ones\Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi response:	and taken to their distant main fleet.
context: Will set out on their journey As the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet. response:	However, their determination to return to the Macross
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross response:	gave rise to a miracle beyond imagination.
context: Slicing through the darkness they fly toward\That blue planet that shines in the distance\Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination. response:	BLUE WIND
context: That blue planet that shines in the distance\Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND response:	We're so close now...
context: Macross! Macross!\Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now... response:	When do you think we'll be able to go home?
context: Macross!\Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now...\When do you think we'll be able to go home? response:	Why don't you ask the Zentradi fleet surrounding us?
context: Hikaru, Misa, Max, and Kakizaki were captured by the Zentradi\and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us? response:	Now then...
context: and taken to their distant main fleet.\However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then... response:	Let the brass worry about this.
context: However, their determination to return to the Macross\gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this. response:	Our enemy won't cut you any slack just because you're the alternate watch.
context: gave rise to a miracle beyond imagination.\BLUE WIND\We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch. response:	Yes, ma'am!
context: BLUE WIND\We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am! response:	Meanwhile, three micloned Zentradi spies have infiltrated the Macross.
context: We're so close now...\When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross. response:	I know we don't have that much intel on them, but this is cruel!
context: When do you think we'll be able to go home?\Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel! response:	There's no way we can walk around looking like this.
context: Why don't you ask the Zentradi fleet surrounding us?\Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this. response:	I just can't relax unless I'm in uniform.
context: Now then...\Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform. response:	Oh, stop complaining.
context: Let the brass worry about this.\Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining. response:	So where are we going?
context: Our enemy won't cut you any slack just because you're the alternate watch.\Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going? response:	I don't know.
context: Yes, ma'am!\Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going?\I don't know. response:	C'mon, what are we gonna do?
context: Meanwhile, three micloned Zentradi spies have infiltrated the Macross.\I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going?\I don't know.\C'mon, what are we gonna do? response:	Let's hit the disco!
context: I know we don't have that much intel on them, but this is cruel!\There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going?\I don't know.\C'mon, what are we gonna do?\Let's hit the disco! response:	We can't go dressed like this.
context: There's no way we can walk around looking like this.\I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going?\I don't know.\C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this. response:	Let's change in the locker room over there.
context: I just can't relax unless I'm in uniform.\Oh, stop complaining.\So where are we going?\I don't know.\C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there. response:	Good idea!
context: Oh, stop complaining.\So where are we going?\I don't know.\C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there.\Good idea! response:	How exciting!
context: So where are we going?\I don't know.\C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there.\Good idea!\How exciting! response:	Yeah, it's been a while!
context: I don't know.\C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there.\Good idea!\How exciting!\Yeah, it's been a while! response:	Disco...?
context: C'mon, what are we gonna do?\Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there.\Good idea!\How exciting!\Yeah, it's been a while!\Disco...? response:	No idea. That word wasn't in our immersion training.
context: Let's hit the disco!\We can't go dressed like this.\Let's change in the locker room over there.\Good idea!\How exciting!\Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training. response:	I'll make a note of it.
context: We can't go dressed like this.\Let's change in the locker room over there.\Good idea!\How exciting!\Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it. response:	Fever! Fever!
context: Let's change in the locker room over there.\Good idea!\How exciting!\Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever! response:	You see that?
context: Good idea!\How exciting!\Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever!\You see that? response:	It looks like you have to change uniforms depending on where you go.
context: How exciting!\Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go. response:	What a pain!
context: Yeah, it's been a while!\Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go.\What a pain! response:	Warera, take note of that!
context: Disco...?\No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that! response:	But if they changed uniforms in there, then...
context: No idea. That word wasn't in our immersion training.\I'll make a note of it.\Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that!\But if they changed uniforms in there, then... response:	There are more uniforms!
context: I'll make a note of it.\Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms! response:	Right!
context: Fever! Fever!\You see that?\It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms!\Right! response:	Warera, aren't you ready yet?!
context: You see that?\It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms!\Right!\Warera, aren't you ready yet?! response:	I'm having trouble getting this on!
context: It looks like you have to change uniforms depending on where you go.\What a pain!\Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms!\Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on! response:	Hurry up!
context: What a pain!\Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms!\Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up! response:	Well?
context: Warera, take note of that!\But if they changed uniforms in there, then...\There are more uniforms!\Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up!\Well? response:	It's fine. All right, now our mission really begins!
context: But if they changed uniforms in there, then...\There are more uniforms!\Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up!\Well?\It's fine. All right, now our mission really begins! response:	So it looked like this?
context: There are more uniforms!\Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up!\Well?\It's fine. All right, now our mission really begins!\So it looked like this? response:	No, I recall seeing ship silhouettes stretching even farther out.
context: Right!\Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up!\Well?\It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out. response:	I agree.
context: Warera, aren't you ready yet?!\I'm having trouble getting this on!\Hurry up!\Well?\It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree. response:	Not counting the smaller ships,
context: I'm having trouble getting this on!\Hurry up!\Well?\It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree.\Not counting the smaller ships, response:	we estimate there to be between four and five million of them.
context: Hurry up!\Well?\It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree.\Not counting the smaller ships,\we estimate there to be between four and five million of them. response:	Im... Impossible!
context: Well?\It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree.\Not counting the smaller ships,\we estimate there to be between four and five million of them.\Im... Impossible! response:	I don't believe it!
context: It's fine. All right, now our mission really begins!\So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree.\Not counting the smaller ships,\we estimate there to be between four and five million of them.\Im... Impossible!\I don't believe it! response:	Wait! Let's hear more of what they have to say.
context: So it looked like this?\No, I recall seeing ship silhouettes stretching even farther out.\I agree.\Not counting the smaller ships,\we estimate there to be between four and five million of them.\Im... Impossible!\I don't believe it!\Wait! Let's hear more of what they have to say. response:	Misa, Hikaru, and the others explain that Zentradi society is completely military,
