context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	The Eye of the Midnight Sun is led by a man named Licht,
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht, response:	who owns a four-leaf grimoire.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire. response:	They are a terrorist group he formed six years ago, and they hold
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold response:	a grudge against the Clover Kingdom.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold\a grudge against the Clover Kingdom. response:	They have about fifty mages who are members.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold\a grudge against the Clover Kingdom.\They have about fifty mages who are members. response:	Among them are their leader, Licht,
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold\a grudge against the Clover Kingdom.\They have about fifty mages who are members.\Among them are their leader, Licht, response:	as well as the three they call the Third Eye: Raia, Vetto, and Fana.
context: He was called the Wizard King, and he became a legend.\The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold\a grudge against the Clover Kingdom.\They have about fifty mages who are members.\Among them are their leader, Licht,\as well as the three they call the Third Eye: Raia, Vetto, and Fana. response:	They are much stronger than the other members.
context: The Eye of the Midnight Sun is led by a man named Licht,\who owns a four-leaf grimoire.\They are a terrorist group he formed six years ago, and they hold\a grudge against the Clover Kingdom.\They have about fifty mages who are members.\Among them are their leader, Licht,\as well as the three they call the Third Eye: Raia, Vetto, and Fana.\They are much stronger than the other members. response:	They all hold a strong grudge against the Clover Kingdom,
