context: Lets have a White Festival! response:	Yeah, let's do it.
context: Lets have a White Festival!\Yeah, let's do it. response:	Just the five of us?
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us? response:	How would we do that?
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us?\How would we do that? response:	Well figure it out.
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us?\How would we do that?\Well figure it out. response:	We'll find a way somehow...
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us?\How would we do that?\Well figure it out.\We'll find a way somehow... response:	Music Practice Room Two
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us?\How would we do that?\Well figure it out.\We'll find a way somehow...\Music Practice Room Two response:	Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts
context: Lets have a White Festival!\Yeah, let's do it.\Just the five of us?\How would we do that?\Well figure it out.\We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts response:	Whats the best case scenario?
context: Yeah, let's do it.\Just the five of us?\How would we do that?\Well figure it out.\We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario? response:	Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)
context: Just the five of us?\How would we do that?\Well figure it out.\We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go) response:	That we get the school's permission.
context: How would we do that?\Well figure it out.\We'll find a way somehow...\Music Practice Room Two\Choir Club Culture Fair Beauties and the Frogs Script - Miyamoto - Wakana to coach everyone on their song parts\Whats the best case scenario?\Choreography - Sawa Set - Tanaka Props - Wien Costumes - Wein? Stage Crew - Everyone (17 days to go)\That we get the school's permission. response:	And that people from other clubs join us.
