context: Sacred Jewel shards... response:	We were in search of Naraku,
context: Sacred Jewel shards...\We were in search of Naraku, response:	when a ghastly demon came afterus.
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus. response:	Just then...
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus.\Just then... response:	Koga saved me.
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus.\Just then...\Koga saved me. response:	But a young girl from the Wolf-Demon Tribe appeared.
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus.\Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared. response:	You promised me...
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus.\Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me... response:	Don't overdo it.
context: Sacred Jewel shards...\We were in search of Naraku,\when a ghastly demon came afterus.\Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it. response:	If itgets too hard,
context: We were in search of Naraku,\when a ghastly demon came afterus.\Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it.\If itgets too hard, response:	I'll make you my wife, Ayame.
context: when a ghastly demon came afterus.\Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame. response:	l-Is that true?
context: Just then...\Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true? response:	D-Did I really say that?
context: Koga saved me.\But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that? response:	That demon...
context: But a young girl from the Wolf-Demon Tribe appeared.\You promised me...\Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that?\That demon... response:	Did Naraku send that as a decoy?
context: You promised me...\Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that?\That demon...\Did Naraku send that as a decoy? response:	We'll find out once we capture it.
context: Don't overdo it.\If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that?\That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it. response:	It may know Naraku's whereabouts, too.
context: If itgets too hard,\I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that?\That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too. response:	That's afterwe save Kagome!
context: I'll make you my wife, Ayame.\l-Is that true?\D-Did I really say that?\That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome! response:	Be safe, Kagome!
context: l-Is that true?\D-Did I really say that?\That demon...\Did Naraku send that as a decoy?\We'll find out once we capture it.\It may know Naraku's whereabouts, too.\That's afterwe save Kagome!\Be safe, Kagome! response:	Then the elder of the Wolf-Demon Tribe is yourgrandfather?
