context: I want to know what this recap tastes like! response:	Too damn suspicious...
context: I want to know what this recap tastes like!\Too damn suspicious... response:	We headed off to Tenroujima
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima response:	for the S Class Advancement Exam,
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam, response:	but began to suspect that Mest, one of the participants,
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants, response:	isn't actually a member of the guild.
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild. response:	He is far too suspicious!
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious! response:	But approaching the island was an even greater danger!
context: I want to know what this recap tastes like!\Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger! response:	I want to know this danger!
context: Too damn suspicious...\We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger! response:	You're just way too damn suspicious!
context: We headed off to Tenroujima\for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious! response:	I can't believe this.
context: for the S Class Advancement Exam,\but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious!\I can't believe this. response:	Zeref alive, and on this island?
context: but began to suspect that Mest, one of the participants,\isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island? response:	And to think that Master Hades of Grimoire Heart and his personal guard are coming here...
context: isn't actually a member of the guild.\He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here... response:	He called them the Seven Kin of Purgatory, if I recall.
context: He is far too suspicious!\But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall. response:	And he said that one of them was already here on this island.
context: But approaching the island was an even greater danger!\I want to know this danger!\You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island. response:	This is not a good situation. At any rate, we must hurry!
context: I want to know this danger!\You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry! response:	We'll search for Wendy and Mest, then return to the camp!
context: You're just way too damn suspicious!\I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp! response:	Hey! What are the two of you doing all of a sudden?
context: I can't believe this.\Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden? response:	You, stay quiet!
context: Zeref alive, and on this island?\And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet! response:	Who exactly are you?
context: And to think that Master Hades of Grimoire Heart and his personal guard are coming here...\He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you? response:	W-What are you talking about?
context: He called them the Seven Kin of Purgatory, if I recall.\And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you?\W-What are you talking about? response:	I suspect you're a wizard whose magic can manipulate people's memories.
context: And he said that one of them was already here on this island.\This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories. response:	You cast a spell on the members of the guild, making them think you were a member.
context: This is not a good situation. At any rate, we must hurry!\We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member. response:	When you think about Mystogan, everything seems completely out of place.
context: We'll search for Wendy and Mest, then return to the camp!\Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place. response:	I can't think of anyone else you have any connection to.
context: Hey! What are the two of you doing all of a sudden?\You, stay quiet!\Who exactly are you?\W-What are you talking about?\I suspect you're a wizard whose magic can manipulate people's memories.\You cast a spell on the members of the guild, making them think you were a member.\When you think about Mystogan, everything seems completely out of place.\I can't think of anyone else you have any connection to. response:	And furthermore, to not know the meaning of the guild's signal flare...
