context: There's something I've felt since I first met you. response:	You give me a really nostalgic feeling, somehow.
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow. response:	Sorry, that was a weird thing to say...
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say... response:	See you.
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you. response:	Narugino!
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you.\Narugino! response:	Hey, Narugino! Come on!
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you.\Narugino!\Hey, Narugino! Come on! response:	These?
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you.\Narugino!\Hey, Narugino! Come on!\These? response:	Hang in there, Narugino. I'll be right back.
context: There's something I've felt since I first met you.\You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you.\Narugino!\Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back. response:	Punch Line
context: You give me a really nostalgic feeling, somehow.\Sorry, that was a weird thing to say...\See you.\Narugino!\Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back.\Punch Line response:	Brazilian High Kick
context: Sorry, that was a weird thing to say...\See you.\Narugino!\Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick response:	Thanks.
context: See you.\Narugino!\Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick\Thanks. response:	But how did you know where my medication was?
context: Narugino!\Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick\Thanks.\But how did you know where my medication was? response:	Hey, Narugino,
context: Hey, Narugino! Come on!\These?\Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick\Thanks.\But how did you know where my medication was?\Hey, Narugino, response:	could you please stop becoming Strange Juice?
context: These?\Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick\Thanks.\But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice? response:	Why?
context: Hang in there, Narugino. I'll be right back.\Punch Line\Brazilian High Kick\Thanks.\But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice?\Why? response:	Isn't it obvious?
context: Punch Line\Brazilian High Kick\Thanks.\But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice?\Why?\Isn't it obvious? response:	Your body...
context: Brazilian High Kick\Thanks.\But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice?\Why?\Isn't it obvious?\Your body... response:	can't...
context: Thanks.\But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice?\Why?\Isn't it obvious?\Your body...\can't... response:	So you knew...
context: But how did you know where my medication was?\Hey, Narugino,\could you please stop becoming Strange Juice?\Why?\Isn't it obvious?\Your body...\can't...\So you knew... response:	But I can't stop.
context: Hey, Narugino,\could you please stop becoming Strange Juice?\Why?\Isn't it obvious?\Your body...\can't...\So you knew...\But I can't stop. response:	Why not?
context: could you please stop becoming Strange Juice?\Why?\Isn't it obvious?\Your body...\can't...\So you knew...\But I can't stop.\Why not? response:	There are people waiting for me.
context: Why?\Isn't it obvious?\Your body...\can't...\So you knew...\But I can't stop.\Why not?\There are people waiting for me. response:	But if you die, what's the point?
context: Isn't it obvious?\Your body...\can't...\So you knew...\But I can't stop.\Why not?\There are people waiting for me.\But if you die, what's the point? response:	Even Ishigata-san...
context: Your body...\can't...\So you knew...\But I can't stop.\Why not?\There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san... response:	I don't think even Ishigata-san would have wanted that.
context: can't...\So you knew...\But I can't stop.\Why not?\There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that. response:	Wait... Wait!
context: So you knew...\But I can't stop.\Why not?\There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait! response:	How do you know about Ishigata-san?
context: But I can't stop.\Why not?\There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san? response:	Unbeijini nyopurasara,
context: Why not?\There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara, response:	I'm going to put a spell on you...
context: There are people waiting for me.\But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you... response:	That song... How...
context: But if you die, what's the point?\Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How... response:	I'm...
context: Even Ishigata-san...\I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How...\I'm... response:	Pine.
context: I don't think even Ishigata-san would have wanted that.\Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How...\I'm...\Pine. response:	And this body is yours,
context: Wait... Wait!\How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How...\I'm...\Pine.\And this body is yours, response:	Chiyoko.
context: How do you know about Ishigata-san?\Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How...\I'm...\Pine.\And this body is yours,\Chiyoko. response:	Why?
context: Unbeijini nyopurasara,\I'm going to put a spell on you...\That song... How...\I'm...\Pine.\And this body is yours,\Chiyoko.\Why? response:	Why did you keep it from me all this time?
context: I'm going to put a spell on you...\That song... How...\I'm...\Pine.\And this body is yours,\Chiyoko.\Why?\Why did you keep it from me all this time? response:	I missed you, Pine.
context: That song... How...\I'm...\Pine.\And this body is yours,\Chiyoko.\Why?\Why did you keep it from me all this time?\I missed you, Pine. response:	Pine!
context: I'm...\Pine.\And this body is yours,\Chiyoko.\Why?\Why did you keep it from me all this time?\I missed you, Pine.\Pine! response:	I see...
context: Pine.\And this body is yours,\Chiyoko.\Why?\Why did you keep it from me all this time?\I missed you, Pine.\Pine!\I see... response:	So Ishigata-san saved you after you fell into that dam.
context: And this body is yours,\Chiyoko.\Why?\Why did you keep it from me all this time?\I missed you, Pine.\Pine!\I see...\So Ishigata-san saved you after you fell into that dam. response:	I looked for you and Guri-chan, too, but...
context: Chiyoko.\Why?\Why did you keep it from me all this time?\I missed you, Pine.\Pine!\I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but... response:	Yeah, I guess in that rain...
context: Why?\Why did you keep it from me all this time?\I missed you, Pine.\Pine!\I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain... response:	It was the next day that I realized I'd switched bodies.
context: Why did you keep it from me all this time?\I missed you, Pine.\Pine!\I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies. response:	I had no idea what was going on.
context: I missed you, Pine.\Pine!\I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on. response:	I was so sad, I couldn't stop crying.
context: Pine!\I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying. response:	I think I would have gone crazy if it weren't for Ishigata-san.
context: I see...\So Ishigata-san saved you after you fell into that dam.\I looked for you and Guri-chan, too, but...\Yeah, I guess in that rain...\It was the next day that I realized I'd switched bodies.\I had no idea what was going on.\I was so sad, I couldn't stop crying.\I think I would have gone crazy if it weren't for Ishigata-san. response:	So that's why you came to an apartment in Tokyo with him.
