context: Today, I overslept and didn't have time, so it's omelet rice again. response:	You know, I don't need lunches anymore.
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore. response:	Oh? Why is that?
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that? response:	Most of the guys don't bring their own lunches.
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches. response:	Everyone buys food at the school cafeteria.
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria. response:	So, to get along with new friends, I don't need them anymore.
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore. response:	That is such a pity!
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity! response:	But, since I made it today, I want you to take it with you!
context: Today, I overslept and didn't have time, so it's omelet rice again.\You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you! response:	S-Sure...
context: You know, I don't need lunches anymore.\Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure... response:	Something nice will happen <3
context: Oh? Why is that?\Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3 response:	There's no way I'd be able to eat an omelet rice with a message
context: Most of the guys don't bring their own lunches.\Everyone buys food at the school cafeteria.\So, to get along with new friends, I don't need them anymore.\That is such a pity!\But, since I made it today, I want you to take it with you!\S-Sure...\Something nice will happen <3\There's no way I'd be able to eat an omelet rice with a message response:	written on it in the classroom...
