context: The meteor shower. response:	What are you talking about?
context: The meteor shower.\What are you talking about? response:	We haven't seen it once since the saucer came.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came. response:	Even if we could, it's still half a month away.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away. response:	No.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No. response:	Togawa-san's been waiting for me.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me. response:	Since that day seven years ago.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me.\Since that day seven years ago. response:	Please everyone, let's enter the Hokubi Festival.
context: The meteor shower.\What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival. response:	What She Believes
context: What are you talking about?\We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes response:	Later, Mizusaka.
context: We haven't seen it once since the saucer came.\Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka. response:	Yeah, see you.
context: Even if we could, it's still half a month away.\No.\Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka.\Yeah, see you. response:	Hey, are you seriously entering the Hokubi Festival?
context: No.\Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival? response:	Don't you have to get ready to study abroad?
context: Togawa-san's been waiting for me.\Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad? response:	Yeah.
context: Since that day seven years ago.\Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah. response:	But she's kind of a friend.
context: Please everyone, let's enter the Hokubi Festival.\What She Believes\Later, Mizusaka.\Yeah, see you.\Hey, are you seriously entering the Hokubi Festival?\Don't you have to get ready to study abroad?\Yeah.\But she's kind of a friend. response:	Shione, do you have plans later?
