context: TS response:	SCRIPT
context: TS\SCRIPT response:	Yesterday,
context: TS\SCRIPT\Yesterday, response:	after I got back from Mr. Braun's,
context: TS\SCRIPT\Yesterday,\after I got back from Mr. Braun's, response:	nothing happened...
context: TS\SCRIPT\Yesterday,\after I got back from Mr. Braun's,\nothing happened... response:	Moeka and her group
context: TS\SCRIPT\Yesterday,\after I got back from Mr. Braun's,\nothing happened...\Moeka and her group response:	always appeared on Friday the 13th.
context: TS\SCRIPT\Yesterday,\after I got back from Mr. Braun's,\nothing happened...\Moeka and her group\always appeared on Friday the 13th. response:	Did the world line change when I sent the message
context: TS\SCRIPT\Yesterday,\after I got back from Mr. Braun's,\nothing happened...\Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message response:	Do not give in to your assistant's threats. Follow Suzuha!
context: SCRIPT\Yesterday,\after I got back from Mr. Braun's,\nothing happened...\Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha! response:	telling myself not to follow Suzuha?
context: Yesterday,\after I got back from Mr. Braun's,\nothing happened...\Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha? response:	If so, then...
context: after I got back from Mr. Braun's,\nothing happened...\Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then... response:	Has Mayuri been saved?
context: nothing happened...\Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved? response:	Will nothing happen now?
context: Moeka and her group\always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved?\Will nothing happen now? response:	Huh?
context: always appeared on Friday the 13th.\Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved?\Will nothing happen now?\Huh? response:	My watch isn't working...
context: Did the world line change when I sent the message\Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved?\Will nothing happen now?\Huh?\My watch isn't working... response:	That's strange.
context: Do not give in to your assistant's threats. Follow Suzuha!\telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved?\Will nothing happen now?\Huh?\My watch isn't working...\That's strange. response:	I just wound it.
context: telling myself not to follow Suzuha?\If so, then...\Has Mayuri been saved?\Will nothing happen now?\Huh?\My watch isn't working...\That's strange.\I just wound it. response:	OP
context: If so, then...\Has Mayuri been saved?\Will nothing happen now?\Huh?\My watch isn't working...\That's strange.\I just wound it.\OP response:	suujuuoku mono kodou no kazu sae
context: Has Mayuri been saved?\Will nothing happen now?\Huh?\My watch isn't working...\That's strange.\I just wound it.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Will nothing happen now?\Huh?\My watch isn't working...\That's strange.\I just wound it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Huh?\My watch isn't working...\That's strange.\I just wound it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: My watch isn't working...\That's strange.\I just wound it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: That's strange.\I just wound it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: I just wound it.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
