context: It's done! response:	Whoa' No matter how many times I try. It always turns into Kero.
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero. response:	I'll ask Rika how to do it again later.
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later. response:	Kaho-sensei,
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei, response:	something weird happened on Tomoeda again.
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again. response:	This time, Li Shao Lan
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan response:	got controlled by some threads.
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads. response:	But
context: It's done!\Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads.\But response:	we don't know who did it.
context: Whoa' No matter how many times I try. It always turns into Kero.\I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads.\But\we don't know who did it. response:	Same as last time.
context: I'll ask Rika how to do it again later.\Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads.\But\we don't know who did it.\Same as last time. response:	I keep feeling Clow Reed, but
context: Kaho-sensei,\something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads.\But\we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but response:	Kero-chan ensures me that
context: something weird happened on Tomoeda again.\This time, Li Shao Lan\got controlled by some threads.\But\we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that response:	Clow'
context: This time, Li Shao Lan\got controlled by some threads.\But\we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow' response:	has passed away long time ago.
context: got controlled by some threads.\But\we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow'\has passed away long time ago. response:	What we could do, is to develope our ability'
context: But\we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow'\has passed away long time ago.\What we could do, is to develope our ability' response:	'to deal with sudden incidents.
context: we don't know who did it.\Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow'\has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents. response:	So, I always carry the cards around with me, but'
context: Same as last time.\I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow'\has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but' response:	What else would happen?
context: I keep feeling Clow Reed, but\Kero-chan ensures me that\Clow'\has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen? response:	' What is it?' Eriol! Ah'
context: Kero-chan ensures me that\Clow'\has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah' response:	Is something troubling you?
context: Clow'\has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you? response:	Ah! It is nothing.
context: has passed away long time ago.\What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing. response:	Is it OK if I stay with you?
context: What we could do, is to develope our ability'\'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you? response:	Oh, it's a letter.
context: 'to deal with sudden incidents.\So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter. response:	Yeah, to Miss Mizuki Kaho,
context: So, I always carry the cards around with me, but'\What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho, response:	who was my Maths teacher.
context: What else would happen?\' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher. response:	Is your current teacher Mr Terada?
context: ' What is it?' Eriol! Ah'\Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada? response:	Yup, Miss Mizuki Kaho
context: Is something troubling you?\Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho response:	was here for the first semester
context: Ah! It is nothing.\Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester response:	and now she's out of the country.
context: Is it OK if I stay with you?\Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country. response:	She was amazing.
context: Oh, it's a letter.\Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country.\She was amazing. response:	I wish I had a chance
context: Yeah, to Miss Mizuki Kaho,\who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country.\She was amazing.\I wish I had a chance response:	to meet Miss Mizuki
context: who was my Maths teacher.\Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country.\She was amazing.\I wish I had a chance\to meet Miss Mizuki response:	Ah!
context: Is your current teacher Mr Terada?\Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country.\She was amazing.\I wish I had a chance\to meet Miss Mizuki\Ah! response:	I'm still in the process of making it'
context: Yup, Miss Mizuki Kaho\was here for the first semester\and now she's out of the country.\She was amazing.\I wish I had a chance\to meet Miss Mizuki\Ah!\I'm still in the process of making it' response:	Is this what you bought the last time you went into that store with sewing stuff?
context: was here for the first semester\and now she's out of the country.\She was amazing.\I wish I had a chance\to meet Miss Mizuki\Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff? response:	Yeah, it is not so easy.
context: and now she's out of the country.\She was amazing.\I wish I had a chance\to meet Miss Mizuki\Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy. response:	May I see it?
context: She was amazing.\I wish I had a chance\to meet Miss Mizuki\Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it? response:	Eh? But, but, it looks weird and nothing like a bear'
context: I wish I had a chance\to meet Miss Mizuki\Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear' response:	I don't hate sewing so'
context: to meet Miss Mizuki\Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so' response:	maybe I can help.
context: Ah!\I'm still in the process of making it'\Is this what you bought the last time you went into that store with sewing stuff?\Yeah, it is not so easy.\May I see it?\Eh? But, but, it looks weird and nothing like a bear'\I don't hate sewing so'\maybe I can help. response:	Don't laugh.
